,id,name,genre_google,artist,genre_wiki,genre_merge
15,23,The Kovenant,,the kovenant,"['industrial metal', 'symphonic black metal']","['industrial metal', 'symphonic black metal']"
16,24,Feindflug,,feindflug,"['electro-industrial', 'power noise']","['electro-industrial', 'power noise']"
17,25,Cradle of Filth,,cradle of filth,['extreme metal'],['extreme metal']
18,26,Tamtrum,,tamtrum,['aggrotech'],['aggrotech']
19,27,Laibach,,laibach,"['avant-garde music', 'electronic music', 'industrial music', 'martial industrial', 'experimental music', 'electro-industrial', 'neoclassical dark wave']","['avant-garde music', 'electronic music', 'industrial music', 'martial industrial', 'experimental music', 'electro-industrial', 'neoclassical dark wave']"
20,28,Gorgoroth,,gorgoroth,['black metal'],['black metal']
21,30,And One,,and one,"['electronic body music', 'new wave music', 'futurepop']","['electronic body music', 'new wave music', 'futurepop']"
22,31,Amduscia,,amduscia,['aggrotech'],['aggrotech']
23,32,Covenant,"['alternative/indie', 'r&b/soul', 'hip-hop/rap', 'christian']",covenant,,"['alternative/indie', 'r&b/soul', 'hip-hop/rap', 'christian']"
24,34,Icon of Coil,,icon of coil,"['electronic body music', 'futurepop']","['electronic body music', 'futurepop']"
25,36,KMFDM,,kmfdm,"['electro-industrial', 'industrial music', 'industrial rock', 'industrial metal']","['electro-industrial', 'industrial music', 'industrial rock', 'industrial metal']"
26,37,Funker Vogt,,funker vogt,"['futurepop', 'aggrotech', 'electro-industrial']","['futurepop', 'aggrotech', 'electro-industrial']"
27,38,Dawn of Ashes,"['death metal', 'dance/electronic', 'rock']",dawn of ashes,"['extreme metal', 'electro-industrial', 'industrial metal', 'black metal']","['death metal', 'dance/electronic', 'rock', 'extreme metal', 'electro-industrial', 'industrial metal', 'black metal']"
28,40,The Faint,"['electronic dance music', 'rock']",the faint,"['indie rock', 'speed metal', 'death metal', 'noise music', 'new wave music', 'dance-punk', 'intelligent dance music', 'post-punk revival']","['electronic dance music', 'rock', 'indie rock', 'speed metal', 'death metal', 'noise music', 'new wave music', 'dance-punk', 'intelligent dance music', 'post-punk revival']"
29,41,God Module,"['alternative/indie', 'dance/electronic']",god module,"['electronic body music', 'electro-industrial']","['alternative/indie', 'dance/electronic', 'electronic body music', 'electro-industrial']"
30,44,Das Ich,,das ich,"['gothic music', 'neue deutsche todeskunst', 'electro-industrial', 'dark wave']","['gothic music', 'neue deutsche todeskunst', 'electro-industrial', 'dark wave']"
31,45,Mindless Self Indulgence,"['electronic dance music', 'dance/electronic', 'alternative/indie']",mindless self indulgence,"['new wave music', 'industrial rock', 'electropunk', 'comedy rock', 'hip hop music', 'electronic rock']","['electronic dance music', 'dance/electronic', 'alternative/indie', 'new wave music', 'industrial rock', 'electropunk', 'comedy rock', 'hip hop music', 'electronic rock']"
32,47,Emperor,"['progressive metal', 'metal', 'rock', 'dance/electronic', 'hip-hop/rap']",emperor,,"['progressive metal', 'metal', 'rock', 'dance/electronic', 'hip-hop/rap']"
33,49,Reaper,"['alternative/indie', 'dance/electronic', 'hip-hop/rap']",reaper,,"['alternative/indie', 'dance/electronic', 'hip-hop/rap']"
34,50,Gothminister,,gothminister,"['gothic metal', 'industrial metal']","['gothic metal', 'industrial metal']"
35,51,Duran Duran,,duran duran,"['synth-pop', 'dance-rock', 'new wave music']","['synth-pop', 'dance-rock', 'new wave music']"
36,52,Morcheeba,"['dance/electronic', 'electronic dance music', 'pop']",morcheeba,,"['dance/electronic', 'electronic dance music', 'pop']"
37,53,Air,"['dance/electronic', 'electronic dance music']",air,,"['dance/electronic', 'electronic dance music']"
38,54,Hooverphonic,"['pop', 'dance/electronic', 'alternative/indie', 'rock']",hooverphonic,,"['pop', 'dance/electronic', 'alternative/indie', 'rock']"
39,55,Kylie Minogue,"['electronic dance music', 'dance/electronic']",kylie minogue,,"['electronic dance music', 'dance/electronic']"
40,56,Daft Punk,"['electronic dance music', 'dance/electronic']",daft punk,"['dance music', 'disco', 'house music', 'electronic music']","['electronic dance music', 'dance/electronic', 'dance music', 'disco', 'house music', 'electronic music']"
41,58,Goldfrapp,"['electronic dance music', 'dance/electronic']",goldfrapp,"['folktronica', 'trip hop', 'electroclash', 'synth-pop', 'ambient music']","['electronic dance music', 'dance/electronic', 'folktronica', 'trip hop', 'electroclash', 'synth-pop', 'ambient music']"
42,59,New Order,"['electronic dance music', 'dance/electronic']",new order,,"['electronic dance music', 'dance/electronic']"
43,60,Matt Bianco,,matt bianco,"['sophisti-pop', 'blue-eyed soul', 'jazz-funk']","['sophisti-pop', 'blue-eyed soul', 'jazz-funk']"
44,61,Talk Talk,,talk talk,"['synth-pop', 'art rock', 'new wave music', 'post-rock']","['synth-pop', 'art rock', 'new wave music', 'post-rock']"
45,62,Prefab Sprout,,prefab sprout,"['new wave music', 'jazz-pop', 'pop music', 'sophisti-pop']","['new wave music', 'jazz-pop', 'pop music', 'sophisti-pop']"
46,63,Enigma,"['dance/electronic', 'pop', 'rock', 'hip-hop/rap', 'folk']",enigma,,"['dance/electronic', 'pop', 'rock', 'hip-hop/rap', 'folk']"
47,64,Röyksopp,"['electronic dance music', 'dance/electronic']",röyksopp,"['ambient music', 'chill-out music', 'downtempo', 'house music', 'synth-pop', 'electronic music']","['electronic dance music', 'dance/electronic', 'ambient music', 'chill-out music', 'downtempo', 'house music', 'synth-pop', 'electronic music']"
48,65,Coldplay,,coldplay,"['pop music', 'pop rock', 'alternative rock', 'post-britpop']","['pop music', 'pop rock', 'alternative rock', 'post-britpop']"
49,66,Faithless,"['electronic dance music', 'dance/electronic']",faithless,"['trance music', 'electronic music', 'house music', 'trip hop']","['electronic dance music', 'dance/electronic', 'trance music', 'electronic music', 'house music', 'trip hop']"
50,67,Madonna,"['electronic dance music', 'pop', 'dance/electronic']",madonna,,"['electronic dance music', 'pop', 'dance/electronic']"
51,68,Icehouse,"['rock', 'dance/electronic']",icehouse,,"['rock', 'dance/electronic']"
52,69,Sade,"['soul music', 'smooth jazz', 'sophisti-pop', 'quiet storm']",sade,,"['soul music', 'smooth jazz', 'sophisti-pop', 'quiet storm']"
53,70,Moby,"['electronic dance music', 'dance/electronic', 'rock', 'hip-hop/rap']",moby,"['rock music', 'electronica', 'downtempo', 'techno', 'ambient music']","['electronic dance music', 'dance/electronic', 'rock', 'hip-hop/rap', 'rock music', 'electronica', 'downtempo', 'techno', 'ambient music']"
54,71,Dido,"['pop', 'dance/electronic']",dido,,"['pop', 'dance/electronic']"
55,72,Depeche Mode,,depeche mode,"['alternative rock', 'new wave music', 'dance-rock', 'electronic rock', 'synth-pop']","['alternative rock', 'new wave music', 'dance-rock', 'electronic rock', 'synth-pop']"
56,74,Basia,"['pop', 'jazz']",basia,,"['pop', 'jazz']"
57,75,Camouflage,"['dance/electronic', 'pop']",camouflage,,"['dance/electronic', 'pop']"
58,78,The Adventures,['adventure'],the adventures,"['new wave music', 'folk music of ireland', 'alternative rock', 'pop rock']","['adventure', 'new wave music', 'folk music of ireland', 'alternative rock', 'pop rock']"
59,79,Fiction Factory,,fiction factory,"['new wave music', 'synthpop']","['new wave music', 'synthpop']"
60,80,Groove Armada,"['electronic dance music', 'dance/electronic']",groove armada,"['funk music', 'trip hop', 'electronica', 'big beat', 'house music']","['electronic dance music', 'dance/electronic', 'funk music', 'trip hop', 'electronica', 'big beat', 'house music']"
61,81,Portishead,"['dance/electronic', 'rock']",portishead,,"['dance/electronic', 'rock']"
62,82,Marc Almond,,marc almond,"['art pop', 'synth-pop', 'gothic rock', 'new wave music', 'cabaret']","['art pop', 'synth-pop', 'gothic rock', 'new wave music', 'cabaret']"
63,84,Cut Copy,,cut copy,"['new wave music', 'dance-punk', 'indietronica', 'synth-pop']","['new wave music', 'dance-punk', 'indietronica', 'synth-pop']"
64,85,Spandau Ballet,,spandau ballet,"['new wave music', 'synth-pop', 'sophisti-pop', 'blue-eyed soul']","['new wave music', 'synth-pop', 'sophisti-pop', 'blue-eyed soul']"
65,87,Deacon Blue,,deacon blue,"['pop music', 'blues', 'rock music', 'pop rock', 'sophisti-pop', 'alternative rock']","['pop music', 'blues', 'rock music', 'pop rock', 'sophisti-pop', 'alternative rock']"
66,88,Gorillaz,"['electronic dance music', 'dance/electronic', 'alternative/indie']",gorillaz,"['trip hop', 'art pop', 'hip hop music', 'electronic music', 'alternative rock']","['electronic dance music', 'dance/electronic', 'alternative/indie', 'trip hop', 'art pop', 'hip hop music', 'electronic music', 'alternative rock']"
67,89,Lady Gaga,"['pop music', 'electronic music', 'dance music']",lady gaga,,"['pop music', 'electronic music', 'dance music']"
68,90,Kosheen,,kosheen,"['breakbeat', 'alternative rock', 'electronica', 'trip hop', 'drum and bass']","['breakbeat', 'alternative rock', 'electronica', 'trip hop', 'drum and bass']"
69,92,Vitamin Z,,vitamin z,"['new wave music', 'synthpop']","['new wave music', 'synthpop']"
70,93,Jean-Michel Jarre,,jean-michel jarre,"['techno', 'electronic music', 'ambient music', 'progressive rock', 'trance music', 'new-age music']","['techno', 'electronic music', 'ambient music', 'progressive rock', 'trance music', 'new-age music']"
71,95,Simply Red,,simply red,"['sophisti-pop', 'blue-eyed soul', 'soul music', 'pop music']","['sophisti-pop', 'blue-eyed soul', 'soul music', 'pop music']"
72,96,Fleetwood Mac,,fleetwood mac,"['rock music', 'folk rock', 'blues rock', 'soft rock', 'british blues', 'pop rock', 'art pop']","['rock music', 'folk rock', 'blues rock', 'soft rock', 'british blues', 'pop rock', 'art pop']"
73,97,Duffy,"['soul music', 'blue-eyed soul', 'neo soul', 'pop music', 'pop rock']",duffy,,"['soul music', 'blue-eyed soul', 'neo soul', 'pop music', 'pop rock']"
74,99,INXS,,inxs,"['pub rock (australia)', 'new wave music']","['pub rock (australia)', 'new wave music']"
75,100,ABC,"['pop', 'jazz']",abc,,"['pop', 'jazz']"
76,103,Max Richter,,max richter,"['postminimalism', 'minimal music', 'ambient music', 'contemporary classical music']","['postminimalism', 'minimal music', 'ambient music', 'contemporary classical music']"
77,108,Magnitophono,"['alternative/indie', 'dance/electronic']",magnitophono,,"['alternative/indie', 'dance/electronic']"
78,126,The Notwist,"['dance/electronic', 'electronic dance music', 'alternative/indie']",the notwist,"['morr music', 'electronica', 'post-rock', 'post-hardcore', 'indie rock']","['dance/electronic', 'electronic dance music', 'alternative/indie', 'morr music', 'electronica', 'post-rock', 'post-hardcore', 'indie rock']"
79,131,Part Timer,"['comedy', 'fantasy']",part timer,,"['comedy', 'fantasy']"
80,137,Worm Is Green,"['alternative/indie', 'dance/electronic']",worm is green,,"['alternative/indie', 'dance/electronic']"
81,139,Richard Skelton,"['classical', 'dance/electronic']",richard skelton,"['experimental music', 'minimalist music', 'drone music']","['classical', 'dance/electronic', 'experimental music', 'minimalist music', 'drone music']"
82,141,Aidan Baker,"['rock', 'pop']",aidan baker,"['drone metal', 'ambient music', 'post-rock', 'experimental music', 'space rock']","['rock', 'pop', 'drone metal', 'ambient music', 'post-rock', 'experimental music', 'space rock']"
83,147,Svarte Greiner,"['alternative/indie', 'dance/electronic']",svarte greiner,,"['alternative/indie', 'dance/electronic']"
84,148,The Boats,"['horror', 'thriller', 'mystery']",the boats,,"['horror', 'thriller', 'mystery']"
85,151,Deep Forest,,deep forest,"['electronic music', 'ambient music', 'ethnic electronica', 'world music', 'new-age music']","['electronic music', 'ambient music', 'ethnic electronica', 'world music', 'new-age music']"
86,152,Porcupine Tree,"['progressive metal', 'rock']",porcupine tree,"['psychedelic rock', 'progressive metal', 'progressive rock', 'alternative rock', 'post-progressive']","['progressive metal', 'rock', 'psychedelic rock', 'progressive metal', 'progressive rock', 'alternative rock', 'post-progressive']"
87,153,De/Vision,"['dance/electronic', 'hip-hop/rap']",de/vision,['synthpop'],"['dance/electronic', 'hip-hop/rap', 'synthpop']"
88,154,Radiohead,"['dance/electronic', 'rock']",radiohead,"['experimental rock', 'alternative rock', 'art rock', 'electronica']","['dance/electronic', 'rock', 'experimental rock', 'alternative rock', 'art rock', 'electronica']"
89,155,Robbie Williams,"['electronic dance music', 'traditional pop']",robbie williams,"['alternative rock', 'electronic dance music', 'soft rock', 'pop music', 'pop rock']","['electronic dance music', 'traditional pop', 'alternative rock', 'electronic dance music', 'soft rock', 'pop music', 'pop rock']"
90,156,VAST,,vast,"['experimental rock', 'alternative metal', 'industrial rock', 'alternative rock']","['experimental rock', 'alternative metal', 'industrial rock', 'alternative rock']"
91,157,Michael Jackson,"['pop music', 'soul music', 'funk', 'rhythm and blues', 'rock', 'disco', 'post-disco', 'dance-pop', 'new jack swing']",michael jackson,,"['pop music', 'soul music', 'funk', 'rhythm and blues', 'rock', 'disco', 'post-disco', 'dance-pop', 'new jack swing']"
92,159,The Cure,,the cure,"['gothic rock', 'new wave music', 'alternative rock', 'post-punk']","['gothic rock', 'new wave music', 'alternative rock', 'post-punk']"
93,161,Enrique Iglesias,"['electronic dance music', 'pop']",enrique iglesias,,"['electronic dance music', 'pop']"
94,162,God Is an Astronaut,"['dance/electronic', 'rock']",god is an astronaut,['post-rock'],"['dance/electronic', 'rock', 'post-rock']"
95,163,Pink Floyd,,pink floyd,"['psychedelic pop', 'progressive rock', 'experimental rock', 'art rock']","['psychedelic pop', 'progressive rock', 'experimental rock', 'art rock']"
96,165,Planet Funk,"['electronic dance music', 'dance/electronic', 'pop']",planet funk,"['electronic rock', 'house music', 'alternative dance', 'electronica']","['electronic dance music', 'dance/electronic', 'pop', 'electronic rock', 'house music', 'alternative dance', 'electronica']"
97,166,The Cranberries,,the cranberries,"['jangle pop', 'post-punk', 'irish folk', 'pop rock', 'alternative rock']","['jangle pop', 'post-punk', 'irish folk', 'pop rock', 'alternative rock']"
98,167,Scissor Sisters,"['dance/electronic', 'pop']",scissor sisters,"['nu-disco', 'indie pop', 'glam rock', 'alternative rock', 'electroclash']","['dance/electronic', 'pop', 'nu-disco', 'indie pop', 'glam rock', 'alternative rock', 'electroclash']"
99,171,Stereophonics,,stereophonics,"['alternative rock', 'post-britpop', 'britpop']","['alternative rock', 'post-britpop', 'britpop']"
100,172,Garbage,"['dance/electronic', 'rock', 'hip-hop/rap']",garbage,,"['dance/electronic', 'rock', 'hip-hop/rap']"
101,174,Infected Mushroom,"['dance/electronic', 'progressive metal']",infected mushroom,"['electronica', 'experimental music', 'glitch hop', 'electro house', 'industrial music', 'psychedelic trance', 'dream trance', 'progressive psytrance', 'classical music', 'electronic rock']","['dance/electronic', 'progressive metal', 'electronica', 'experimental music', 'glitch hop', 'electro house', 'industrial music', 'psychedelic trance', 'dream trance', 'progressive psytrance', 'classical music', 'electronic rock']"
102,175,Delerium,"['young adult fiction', 'science fiction', 'romance novel', 'utopian and dystopian fiction']",delerium,"['new-age music', 'dark ambient', 'ambient house', 'electronic music', 'worldbeat', 'trance music']","['young adult fiction', 'science fiction', 'romance novel', 'utopian and dystopian fiction', 'new-age music', 'dark ambient', 'ambient house', 'electronic music', 'worldbeat', 'trance music']"
103,177,Rock Star Supernova,,rock star supernova,['hard rock'],['hard rock']
104,179,Tommy Lee,"['electronic dance music', 'hip-hop/rap', 'dance/electronic']",tommy lee,,"['electronic dance music', 'hip-hop/rap', 'dance/electronic']"
105,180,Roxette,,roxette,"['power pop', 'dance-pop', 'soft rock', 'pop music', 'pop rock']","['power pop', 'dance-pop', 'soft rock', 'pop music', 'pop rock']"
106,181,Paradise Lost,"['epic poetry', 'christian mythology']",paradise lost,,"['epic poetry', 'christian mythology']"
107,183,Jamiroquai,"['electronic dance music', 'dance/electronic', 'pop', 'deep house']",jamiroquai,"['funk', 'contemporary r&b', 'disco', 'acid jazz']","['electronic dance music', 'dance/electronic', 'pop', 'deep house', 'funk', 'contemporary r&b', 'disco', 'acid jazz']"
108,185,Reamonn,,reamonn,"['alternative rock', 'pop rock']","['alternative rock', 'pop rock']"
109,186,Blackfield,,blackfield,"['progressive rock', 'art rock', 'pop rock', 'alternative rock']","['progressive rock', 'art rock', 'pop rock', 'alternative rock']"
110,187,a-ha,,a-ha,"['new wave music', 'alternative rock', 'pop rock', 'synth-pop']","['new wave music', 'alternative rock', 'pop rock', 'synth-pop']"
111,188,Opeth,"['death metal', 'progressive metal', 'rock']",opeth,"['progressive metal', 'black metal', 'progressive rock', 'progressive death metal']","['death metal', 'progressive metal', 'rock', 'progressive metal', 'black metal', 'progressive rock', 'progressive death metal']"
112,189,Poets of the Fall,,poets of the fall,"['indie rock', 'progressive rock', 'symphonic rock', 'alternative rock', 'post-grunge']","['indie rock', 'progressive rock', 'symphonic rock', 'alternative rock', 'post-grunge']"
113,190,Muse,"['dance/electronic', 'progressive metal', 'alternative/indie', 'r&b/soul']",muse,,"['dance/electronic', 'progressive metal', 'alternative/indie', 'r&b/soul']"
114,191,OneRepublic,,onerepublic,"['pop rock', 'alternative rock']","['pop rock', 'alternative rock']"
115,193,Tears for Fears,,tears for fears,"['synth-pop', 'pop rock', 'new wave music']","['synth-pop', 'pop rock', 'new wave music']"
116,194,The Tiger Lillies,,the tiger lillies,['dark cabaret'],['dark cabaret']
117,195,Bright Eyes,"['alternative/indie', 'dance/electronic']",bright eyes,,"['alternative/indie', 'dance/electronic']"
118,196,Beirut,"['electronic dance music', 'dance/electronic', 'alternative/indie']",beirut,,"['electronic dance music', 'dance/electronic', 'alternative/indie']"
119,197,Tom Waits,,tom waits,"['jazz', 'experimental music', 'blues', 'rock music']","['jazz', 'experimental music', 'blues', 'rock music']"
120,198,System of a Down,"['progressive metal', 'rock']",system of a down,"['heavy metal music', 'alternative metal', 'nu metal', 'progressive metal', 'hard rock']","['progressive metal', 'rock', 'heavy metal music', 'alternative metal', 'nu metal', 'progressive metal', 'hard rock']"
121,199,Arcade Fire,,arcade fire,"['indie rock', 'dance-rock', 'art rock', 'baroque pop']","['indie rock', 'dance-rock', 'art rock', 'baroque pop']"
122,203,Blur,"['dance/electronic', 'rock', 'hip-hop/rap']",blur,,"['dance/electronic', 'rock', 'hip-hop/rap']"
123,204,Damien Rice,"['folk music', 'alternative/indie']",damien rice,"['folk rock', 'indie rock', 'folk music']","['folk music', 'alternative/indie', 'folk rock', 'indie rock', 'folk music']"
124,205,Andrew Bird,,andrew bird,['indie rock'],['indie rock']
125,206,Beck,"['country music', 'alternative/indie', 'hip-hop/rap']",beck,,"['country music', 'alternative/indie', 'hip-hop/rap']"
126,207,Arctic Monkeys,,arctic monkeys,"['garage rock', 'psychedelic rock', 'post-punk revival', 'indie rock']","['garage rock', 'psychedelic rock', 'post-punk revival', 'indie rock']"
127,208,Babyshambles,,babyshambles,"['indie rock', 'post-punk revival']","['indie rock', 'post-punk revival']"
128,209,My Chemical Romance,,my chemical romance,"['post-hardcore', 'pop punk', 'punk rock', 'emo', 'alternative rock', 'hard rock']","['post-hardcore', 'pop punk', 'punk rock', 'emo', 'alternative rock', 'hard rock']"
129,210,Bloc Party,"['dance/electronic', 'alternative/indie']",bloc party,"['post-punk revival', 'art punk', 'alternative dance', 'indie rock', 'post-britpop', 'alternative rock', 'dance-punk']","['dance/electronic', 'alternative/indie', 'post-punk revival', 'art punk', 'alternative dance', 'indie rock', 'post-britpop', 'alternative rock', 'dance-punk']"
130,212,Bob Dylan,"['country music', 'folk music', 'rock', 'traditional pop']",bob dylan,,"['country music', 'folk music', 'rock', 'traditional pop']"
131,214,DeVotchKa,,devotchka,"['gypsy punk', 'indie folk', 'dark cabaret', 'indie rock']","['gypsy punk', 'indie folk', 'dark cabaret', 'indie rock']"
132,215,Jeff Buckley,,jeff buckley,"['soul music', 'folk rock', 'jazz', 'blues', 'alternative rock', 'reggae']","['soul music', 'folk rock', 'jazz', 'blues', 'alternative rock', 'reggae']"
133,216,Sparklehorse,,sparklehorse,"['alternative country', 'experimental music', 'indie rock', 'alternative rock', 'lo-fi music']","['alternative country', 'experimental music', 'indie rock', 'alternative rock', 'lo-fi music']"
134,217,Death Cab for Cutie,,death cab for cutie,"['alternative rock', 'emo', 'indie rock', 'indie pop']","['alternative rock', 'emo', 'indie rock', 'indie pop']"
135,218,Man Man,"['alternative/indie', 'hip-hop/rap']",man man,['experimental rock'],"['alternative/indie', 'hip-hop/rap', 'experimental rock']"
136,219,M. Ward,,m. ward,"['american primitive guitar', 'indie folk', 'alternative country']","['american primitive guitar', 'indie folk', 'alternative country']"
137,220,Red Hot Chili Peppers,,red hot chili peppers,"['rap rock', 'alternative rock', 'funk metal', 'funk rock']","['rap rock', 'alternative rock', 'funk metal', 'funk rock']"
138,222,Modest Mouse,,modest mouse,"['art punk', 'alternative rock', 'indie rock']","['art punk', 'alternative rock', 'indie rock']"
139,223,Band of Horses,,band of horses,"['southern rock', 'alternative rock', 'indie rock', 'power pop', 'folk rock']","['southern rock', 'alternative rock', 'indie rock', 'power pop', 'folk rock']"
140,226,Queens of the Stone Age,,queens of the stone age,"['stoner rock', 'alternative metal', 'hard rock', 'alternative rock']","['stoner rock', 'alternative metal', 'hard rock', 'alternative rock']"
141,227,The Beatles,"['psychedelic rock', 'blues']",the beatles,"['pop music', 'rock music']","['psychedelic rock', 'blues', 'pop music', 'rock music']"
142,228,Kings of Leon,,kings of leon,"['alternative rock', 'garage rock', 'southern rock']","['alternative rock', 'garage rock', 'southern rock']"
143,229,The Killers,,the killers,"['alternative rock', 'new wave music', 'indie rock', 'pop rock', 'post-punk revival', 'heartland rock', 'synth-pop']","['alternative rock', 'new wave music', 'indie rock', 'pop rock', 'post-punk revival', 'heartland rock', 'synth-pop']"
144,230,Green Day,,green day,"['pop punk', 'punk rock', 'alternative rock']","['pop punk', 'punk rock', 'alternative rock']"
145,231,Devendra Banhart,,devendra banhart,"['new weird america', 'freak folk', 'psychedelic folk']","['new weird america', 'freak folk', 'psychedelic folk']"
146,232,Sunset Rubdown,,sunset rubdown,"['art rock', 'indie rock']","['art rock', 'indie rock']"
147,233,Nine Inch Nails,,nine inch nails,"['alternative rock', 'electronic rock', 'industrial music', 'industrial metal', 'dark ambient', 'industrial rock']","['alternative rock', 'electronic rock', 'industrial music', 'industrial metal', 'dark ambient', 'industrial rock']"
148,236,Clap Your Hands Say Yeah,,clap your hands say yeah,"['indie rock', 'indie pop']","['indie rock', 'indie pop']"
149,237,Thom Yorke,,thom yorke,"['alternative rock', 'electronic music', 'experimental rock', 'intelligent dance music']","['alternative rock', 'electronic music', 'experimental rock', 'intelligent dance music']"
150,238,Massive Attack,"['dance/electronic', 'electronic dance music']",massive attack,['trip hop'],"['dance/electronic', 'electronic dance music', 'trip hop']"
151,239,Keyshia Cole,"['r&b/soul', 'country music']",keyshia cole,,"['r&b/soul', 'country music']"
152,240,Racionais MC's,,racionais mc's,"['gangsta rap', 'political hip hop']","['gangsta rap', 'political hip hop']"
153,241,Toni Braxton,"['soul music', 'pop music', 'dance-pop', 'hip hop music']",toni braxton,,"['soul music', 'pop music', 'dance-pop', 'hip hop music']"
154,243,Teta Lando,,teta lando,['world music'],['world music']
155,246,Adriana Calcanhotto,,adriana calcanhotto,['m?sica popular brasileira'],['m?sica popular brasileira']
156,248,Pharoahe Monch,,pharoahe monch,['hip hop music'],['hip hop music']
157,250,Bob Marley,"['reggae', 'ska', 'rocksteady', 'folk music']",bob marley,,"['reggae', 'ska', 'rocksteady', 'folk music']"
158,251,Whitney Houston,"['contemporary r&b', 'pop music', 'soul music', 'gospel music', 'dance music']",whitney houston,,"['contemporary r&b', 'pop music', 'soul music', 'gospel music', 'dance music']"
159,253,Bryan Adams,"['rock', 'pop rock', 'soft rock', 'arena rock']",bryan adams,['rock music'],"['rock', 'pop rock', 'soft rock', 'arena rock', 'rock music']"
160,256,Kid Abelha,,kid abelha,"['new wave music', 'pop rock']","['new wave music', 'pop rock']"
161,257,Mariah Carey,"['contemporary r&b', 'pop music', 'hip hop music', 'soul music']",mariah carey,,"['contemporary r&b', 'pop music', 'hip hop music', 'soul music']"
162,258,Tina Turner,"['rock', 'contemporary r&b', 'soul music', 'pop music']",tina turner,,"['rock', 'contemporary r&b', 'soul music', 'pop music']"
163,259,9th Wonder,,9th wonder,['hip hop music'],['hip hop music']
164,261,Marisa Monte,,marisa monte,['música popular brasileira'],['música popular brasileira']
165,262,Mary J. Blige,"['contemporary r&b', 'hip hop soul']",mary j. blige,,"['contemporary r&b', 'hip hop soul']"
166,264,Sara Tavares,,sara tavares,"['world music', 'jazz music', 'pop music']","['world music', 'jazz music', 'pop music']"
167,265,Céline Dion,"['chanson', 'pop']",céline dion,,"['chanson', 'pop']"
168,266,Erykah Badu,"['r&b/soul', 'dance/electronic']",erykah badu,,"['r&b/soul', 'dance/electronic']"
169,267,Nas,"['hip hop music', 'east coast hip hop', 'jazz rap', 'political hip hop']",nas,,"['hip hop music', 'east coast hip hop', 'jazz rap', 'political hip hop']"
170,268,Richard Marx,,richard marx,"['adult contemporary music', 'soft rock', 'pop rock']","['adult contemporary music', 'soft rock', 'pop rock']"
171,273,Avant,"['avant-garde music', 'see results about']",avant,,"['avant-garde music', 'see results about']"
172,276,Gang Starr,,gang starr,"['east coast hip hop', 'jazz rap']","['east coast hip hop', 'jazz rap']"
173,277,Papa Wemba,,papa wemba,['soukous'],['soukous']
174,278,2Pac,"['hip hop music', 'political hip hop', 'west coast hip hop']",2pac,,"['hip hop music', 'political hip hop', 'west coast hip hop']"
175,279,Brandy,"['r&b/soul', 'alternative/indie', 'hip-hop/rap']",brandy,,"['r&b/soul', 'alternative/indie', 'hip-hop/rap']"
176,282,Boss AC,,boss ac,"['hip hop tuga', 'rap music']","['hip hop tuga', 'rap music']"
177,284,Dilated Peoples,,dilated peoples,['hip hop music'],['hip hop music']
178,285,Janet Jackson,"['electronic dance music', 'pop']",janet jackson,,"['electronic dance music', 'pop']"
