,id,name,genre
74,80,Groove Armada,"['Electronic dance music', 'Dance/Electronic']"
75,81,Portishead,"['Dance/Electronic', 'Rock']"
76,82,Marc Almond,
77,83,Cock Robin,
78,84,Cut Copy,
79,85,Spandau Ballet,
80,86,Katie Melua,
81,87,Deacon Blue,
82,88,Gorillaz,"['Electronic dance music', 'Dance/Electronic', 'Alternative/Indie']"
83,89,Lady Gaga,"['Pop music', 'Electronic music', 'Dance music']"
84,90,Kosheen,
85,91,Nik Kershaw,
86,92,Vitamin Z,
87,93,Jean-Michel Jarre,
88,94,Ministry of Sound,
89,95,Simply Red,
90,96,Fleetwood Mac,
91,97,Duffy,"['Soul music', 'Blue-eyed soul', 'Neo soul', 'Pop music', 'Pop rock']"
92,98,Japan,
93,99,INXS,
94,100,ABC,"['Pop', 'Jazz']"
95,101,Pleq,
96,102,Segue,
97,103,Max Richter,
98,104,Celer,
99,105,Pjusk,
100,106,Pleq & Segue,
101,107,Burial,
102,108,Magnitophono,"['Alternative/Indie', 'Dance/Electronic']"
103,109,andy graydon,
104,110,ddekombinacja,
105,111,Pleq & Anna Rose Carter,
106,112,Go Koyashiki,
107,113,Dustin O'Halloran,
108,114,offthesky,
109,115,Nebulo,
110,116,Fjordne,
111,117,Pleq & Chihiro,
112,118,Spyweirdos,
113,119,billy gomberg + offthesky,
114,120,Deru,
115,121,Lukid,
116,122,Manekinekod,
117,123,Danny Norbury,
118,124,Shinkei & Mise En Scene,
119,125,aslope,
120,126,The Notwist,"['Dance/Electronic', 'Electronic dance music', 'Alternative/Indie']"
121,127,Off the Sky,
122,128,strom noir,
123,129,Aless,
124,130,Philippe Lamy,
125,131,Part Timer,"['Comedy', 'Fantasy']"
126,132,Deaf Center,
127,133,Lauki,
128,134,Big Brotherz,
129,135,cokiyu,
130,136,Verbose,
131,137,Worm Is Green,"['Alternative/Indie', 'Dance/Electronic']"
132,138,Library Tapes,
133,139,Richard Skelton,"['Classical', 'Dance/Electronic']"
134,140,Matryoshka,
135,141,Aidan Baker,"['Rock', 'Pop']"
136,142,Ylid,
137,143,Daisuke Miyatani,
138,144,Dakota Suite,
139,145,Ryonkt,
140,146,Hird,
141,147,Svarte Greiner,"['Alternative/Indie', 'Dance/Electronic']"
142,148,The Boats,"['Horror', 'Thriller', 'Mystery']"
143,149,The Sound Of Lucrecia,
144,150,Porzellan,
145,151,Deep Forest,
146,152,Porcupine Tree,"['Progressive metal', 'Rock']"
147,153,De/Vision,"['Dance/Electronic', 'Hip-Hop/Rap']"
148,154,Radiohead,"['Dance/Electronic', 'Rock']"
149,155,Robbie Williams,"['Electronic dance music', 'Traditional pop']"
150,156,VAST,
151,157,Michael Jackson,"['Pop music', 'Soul music', 'Funk', 'Rhythm and blues', 'Rock', 'Disco', 'Post-disco', 'Dance-pop', 'New jack swing']"
152,158,עברי לידר,
153,159,The Cure,
154,160,אביב גפן,
155,161,Enrique Iglesias,"['Electronic dance music', 'Pop']"
156,162,God Is an Astronaut,"['Dance/Electronic', 'Rock']"
157,163,Pink Floyd,
158,164,יוני בלוך,"['Rock', 'Pop']"
159,165,Planet Funk,"['Electronic dance music', 'Dance/Electronic', 'Pop']"
160,166,The Cranberries,
161,167,Scissor Sisters,"['Dance/Electronic', 'Pop']"
162,168,דניאל סלומון,
163,169,אביתר בנאי,
164,170,Mew,
165,171,Stereophonics,
166,172,Garbage,"['Dance/Electronic', 'Rock', 'Hip-Hop/Rap']"
167,173,Placebo,
168,174,Infected Mushroom,"['Dance/Electronic', 'Progressive metal']"
169,175,Delerium,"['Young adult fiction', 'Science Fiction', 'Romance novel', 'Utopian and dystopian fiction']"
170,176,Scorpions,
171,177,Rock Star Supernova,
172,178,Dolores O'Riordan,
173,179,Tommy Lee,"['Electronic dance music', 'Hip-Hop/Rap', 'Dance/Electronic']"
174,180,Roxette,
175,181,Paradise Lost,"['Epic poetry', 'Christian mythology']"
176,182,Keane,
177,183,Jamiroquai,"['Electronic dance music', 'Dance/Electronic', 'Pop', 'Deep house']"
178,184,James Blunt,
179,185,Reamonn,
180,186,Blackfield,
181,187,a-ha,
182,188,Opeth,"['Death metal', 'Progressive metal', 'Rock']"
183,189,Poets of the Fall,
184,190,Muse,"['Dance/Electronic', 'Progressive metal', 'Alternative/Indie', 'R&B/Soul']"
185,191,OneRepublic,
186,192,Elton John,
187,193,Tears for Fears,
188,194,The Tiger Lillies,
189,195,Bright Eyes,"['Alternative/Indie', 'Dance/Electronic']"
190,196,Beirut,"['Electronic dance music', 'Dance/Electronic', 'Alternative/Indie']"
191,197,Tom Waits,
192,198,System of a Down,"['Progressive metal', 'Rock']"
193,199,Arcade Fire,
194,200,Gogol Bordello,
195,201,Ленинград,"['Chanson', 'Rock']"
196,202,CAKE,
197,203,Blur,"['Dance/Electronic', 'Rock', 'Hip-Hop/Rap']"
198,204,Damien Rice,"['Folk music', 'Alternative/Indie']"
199,205,Andrew Bird,
200,206,Beck,"['Country music', 'Alternative/Indie', 'Hip-Hop/Rap']"
201,207,Arctic Monkeys,
202,208,Babyshambles,
203,209,My Chemical Romance,
204,210,Bloc Party,"['Dance/Electronic', 'Alternative/Indie']"
205,211,The Decemberists,
206,212,Bob Dylan,"['Country music', 'Folk music', 'Rock', 'Traditional pop']"
207,213,Jacques Brel,
208,214,DeVotchKa,
209,215,Jeff Buckley,
210,216,Sparklehorse,
211,217,Death Cab for Cutie,
212,218,Man Man,"['Alternative/Indie', 'Hip-Hop/Rap']"
213,219,M. Ward,
214,220,Red Hot Chili Peppers,
215,221,Travis,
216,222,Modest Mouse,
217,223,Band of Horses,
218,224,Yeong-wook Jo,
219,225,Interpol,
220,226,Queens of the Stone Age,
221,227,The Beatles,"['Psychedelic rock', 'Blues']"
222,228,Kings of Leon,
223,229,The Killers,
224,230,Green Day,
225,231,Devendra Banhart,
226,232,Sunset Rubdown,
227,233,Nine Inch Nails,
228,234,Nirvana,
229,235,Eels,
230,236,Clap Your Hands Say Yeah,
231,237,Thom Yorke,
232,238,Massive Attack,"['Dance/Electronic', 'Electronic dance music']"
233,239,Keyshia Cole,"['R&B/Soul', 'Country music']"
234,240,Racionais MC's,
235,241,Toni Braxton,"['Soul music', 'Pop music', 'Dance-pop', 'Hip hop music']"
236,242,Elo da Corrente,
237,243,Teta Lando,
238,244,Flagelo Urbano,
239,245,Bob Marley & The Wailers,
240,246,Adriana Calcanhotto,
241,247,Maxwell,
242,248,Pharoahe Monch,
243,249,Common,
244,250,Bob Marley,"['Reggae', 'Ska', 'Rocksteady', 'Folk music']"
245,251,Whitney Houston,"['Contemporary R&B', 'Pop music', 'Soul music', 'Gospel music', 'Dance music']"
246,252,Tamia,
247,253,Bryan Adams,"['Rock', 'Pop rock', 'Soft rock', 'Arena rock']"
248,254,Lokua Kanza,
249,255,Nach,
250,256,Kid Abelha,
251,257,Mariah Carey,"['Contemporary R&B', 'Pop music', 'Hip hop music', 'Soul music']"
252,258,Tina Turner,"['Rock', 'Contemporary R&B', 'Soul music', 'Pop music']"
253,259,9th Wonder,
254,260,Floetry,
255,261,Marisa Monte,
256,262,Mary J. Blige,"['Contemporary R&B', 'Hip hop soul']"
257,263,Jill Scott,
258,264,Sara Tavares,
259,265,Céline Dion,"['Chanson', 'Pop']"
260,266,Erykah Badu,"['R&B/Soul', 'Dance/Electronic']"
261,267,Nas,"['Hip hop music', 'East Coast hip hop', 'Jazz rap', 'Political hip hop']"
262,268,Richard Marx,
263,269,Dru Hill,
264,270,Maria Bethânia,
265,271,Mos Def,
266,272,Faith Evans,
267,273,Avant,"['Avant-garde music', 'See results about']"
268,274,Bob da Rage Sense,
269,275,Angie Stone,
270,276,Gang Starr,
271,277,Papa Wemba,
272,278,2Pac,"['Hip hop music', 'Political hip hop', 'West Coast hip hop']"
273,279,Brandy,"['R&B/Soul', 'Alternative/Indie', 'Hip-Hop/Rap']"
274,280,Sam the Kid,
275,281,Dealema,
276,282,Boss AC,
277,283,Ana Carolina,
278,284,Dilated Peoples,
279,285,Janet Jackson,"['Electronic dance music', 'Pop']"
280,286,Peter Tosh,"['R&B/Soul', 'Reggae']"
281,287,Monica,"['R&B/Soul', 'Christian']"
282,288,Rihanna,"['Electronic dance music', 'Dance/Electronic']"
283,289,Britney Spears,
284,290,Jordin Sparks,"['Country music', 'Pop', 'R&B/Soul']"
285,291,Kelly Clarkson,
286,292,Christina Aguilera,"['Hip-Hop/Rap', 'Dance/Electronic']"
287,293,Ashlee Simpson,
288,294,Leona Lewis,
289,295,Beyoncé,
290,296,Sugababes,
291,297,David Cook,
292,298,Lily Allen,"['Pop music', 'Electropop', 'Reggae', 'Contemporary R&B']"
293,299,Jennifer Lopez,
294,300,Katy Perry,
295,301,Alicia Keys,"['Contemporary R&B', 'Soul music', 'Pop music', 'Hip hop music']"
296,302,P!nk,
297,303,Panic at the Disco,
298,304,David Archuleta,"['Pop', 'Christian']"
299,305,Katharine McPhee,
300,306,Black Eyed Peas,"['Electronic dance music', 'Dance/Electronic']"
301,307,Kate Voegele,
302,308,Kat DeLuna,
303,309,Danity Kane,"['Electronic dance music', 'Pop']"
304,310,Nelly Furtado,"['Pop music', 'Contemporary R&B', 'Worldbeat']"
305,311,Natasha Bedingfield,
306,312,Cassie,"['Pop music', 'Hip hop music']"
307,313,Allison Iraheta,
308,314,Ciara,
309,315,Matt Pokora,
310,316,Alanis Morissette,
311,317,Keri Hilson,
312,318,Hilary Duff,
313,319,Haley James Scott,
314,320,Fergie,"['Contemporary R&B', 'Pop music', 'Hip hop music']"
315,321,Jonas Brothers,
316,322,Ashanti,
317,323,The Saturdays,
318,324,Cobra Starship,"['Electronic dance music', 'Alternative/Indie']"
319,325,Ashley Tisdale,"['Pop', 'Hip-Hop/Rap']"
320,326,JoJo,"['Adventure fiction', 'Fantasy', 'Occult Fiction']"
321,327,Chris Brown,
322,328,David Guetta,
323,329,Justin Timberlake,
324,330,T.I.,"['Hip hop music', 'Trap music']"
325,331,Kanye West,
326,332,Kelly Rowland,"['Contemporary R&B', 'Pop music', 'Hip hop music', 'Soul music', 'Dance-pop']"
327,333,Avril Lavigne,
328,334,No Angels,
329,335,Sandy,"['Pop music', 'Contemporary folk music', 'Pop rock']"
330,336,Vanessa Petruo,
331,337,Alexander,
332,338,Queensberry,
333,339,Fady Maalouf,
334,340,Cher,"['Country music', 'Electronic dance music', 'Dance/Electronic', 'Traditional pop']"
335,341,Barbara Schöneberger,
336,342,Colbie Caillat,
337,343,Annett Louisan,"['Chanson', 'Pop']"
338,344,Taylor Swift,"['Country music', 'Pop']"
339,345,Nadja Benaissa,
340,346,Lena,"['Pop music', 'Indie pop']"
341,347,Cassandra Steen,
342,348,Wir sind Helden,
343,349,The Pussycat Dolls,
344,350,Monrose,
345,351,Gabrielle,
346,352,Cheryl Cole,"['Pop', 'Electronic dance music', 'Dance/Electronic']"
347,353,Milow,"['Pop', 'Latin Urbano']"
348,354,Sarah Connor,
349,355,Jason Mraz,
350,356,Brad Paisley,"['Country music', 'Country']"
351,357,Silbermond,
352,358,Diyana,['Pop']
353,359,Maria Mena,"['Pop', 'R&B/Soul']"
354,360,Shania Twain,
355,361,Jennifer Chung,
356,362,A Fine Frenzy,"['Alternative/Indie', 'Pop']"
357,363,Lucylicious,
358,364,Sugarland,"['Country music', 'Country']"
359,365,Christina Stürmer,
360,366,Jack Johnson,"['Acoustic music', 'Easy listening', 'Folk rock', 'Reggae']"
361,367,BIG BANG,"['Electronic dance music', 'Alternative/Indie', 'Pop']"
362,368,김종국,
363,369,2PM,"['Electronic dance music', 'Hip-Hop/Rap', 'Pop']"
364,370,Katatonia,"['Progressive metal', 'Rock']"
365,371,Skillet,
366,372,モンゴル800,
367,373,Jay Park,
368,374,宇多田ヒカル,"['Pop', 'Dance/Electronic']"
369,375,浜崎あゆみ,"['Electronic dance music', 'Pop']"
370,376,UVERworld,
371,377,Linkin Park,"['Electronic dance music', 'Alternative/Indie', 'Dance/Electronic']"
372,378,Evanescence,"['Rock', 'Dance/Electronic']"
373,379,中島美嘉,
374,380,Blackmore's Night,
375,381,C.N.BLUE,
376,382,BUCK-TICK,"['Rock', 'Dance/Electronic']"
377,383,Bad Religion,
378,384,Fairuz,
379,385,T.M.Revolution,
380,386,Cascada,
381,387,TRAX,"['Electronic dance music', 'Pop']"
382,388,B2ST,"['Pop', 'Rock', 'Dance/Electronic', 'Hip-Hop/Rap', 'J-Pop', 'Metal']"
383,389,Enya,
384,390,GACKT,
385,391,Sinamore,
386,392,Remi Bandali,
387,393,Super Junior,"['Pop', 'Dance/Electronic']"
388,394,山下智久,
389,395,NEWS,
390,396,L'Arc~en~Ciel,
391,397,雅-MIYAVI-,
392,398,www.DjFahad.com,
393,399,嵐,
394,400,2NE1,"['Electronic dance music', 'Pop']"
395,401,RENTRER EN SOI,
396,402,3mmey,
397,403,The All-American Rejects,
398,404,백지영,
399,405,The Rasmus,
400,406,HYDE,
401,407,Akira Yamaoka,"['Ambient music', 'Dark ambient', 'Industrial music', 'Trip hop', 'Alternative rock', 'Video game music']"
402,408,Crossfade,
403,409,G-Dragon,
404,410,GD&TOP,
405,411,Chinese mix,
406,412,blink-182,
407,413,After School,
408,414,Wasted Land,
409,415,Laith Al-Deen,
410,416,The National,
411,417,Cordel do Fogo Encantado,
412,418,Sigur Rós,
413,419,Tokyo Police Club,"['Alternative/Indie', 'Rock']"
414,420,The Kills,
415,421,Móveis Coloniais de Acaju,
416,422,Mombojó,
417,423,Bat for Lashes,"['Dance/Electronic', 'Rock']"
418,424,The Strokes,
419,425,Yeah Yeah Yeahs,
420,426,Rilo Kiley,
421,427,The Cribs,
422,428,The Libertines,
423,429,The Smiths,"['Rock', 'Pop']"
424,430,Kate Nash,
425,431,Wolf Parade,
426,432,Klaxons,
427,433,Broken Social Scene,
428,434,Spoon,
429,435,Black Lips,
430,436,The Smashing Pumpkins,
431,437,She & Him,
432,438,O Teatro Mágico,
433,439,Los Hermanos,"['Pop', 'Rock']"
434,440,Animal Collective,"['Dance/Electronic', 'Alternative/Indie']"
435,441,Joy Division,
436,442,The Tallest Man on Earth,
437,443,The Rakes,
438,444,múm,
439,445,Bon Iver,
440,446,Ra Ra Riot,
441,447,Manu Chao,
442,448,Art Brut,
443,449,Poney Express,"['Action', 'Western', 'Action/Adventure']"
444,450,She Wants Revenge,"['Electronic dance music', 'Dance/Electronic', 'Rock']"
445,451,Local Natives,
446,452,Mundo Livre S/A,"['Pop', 'Rock']"
447,453,Silverchair,
448,454,Jónsi,"['Alternative/Indie', 'Dance/Electronic']"
449,455,Backstreet Boys,
450,456,Jesse McCartney,
451,457,Aaron Carter,
452,458,Justin Bieber,"['Pop music', 'Contemporary R&B']"
453,459,*NSYNC,
454,460,Noize MC,
455,461,Miley Cyrus,
456,462,Blue,
457,463,Savage Garden,
458,464,3OH!3,"['Electronic dance music', 'Dance/Electronic', 'Alternative/Indie']"
459,465,Jessica Simpson,"['Country music', 'Pop']"
460,466,Ke$ha,
461,467,Darren Hayes,"['Pop', 'Electronic dance music', 'Hip-Hop/Rap', 'Dance/Electronic']"
462,468,Usher,
463,469,Nick Carter,"['Pop', 'Alternative/Indie']"
464,470,nevershoutnever!,
465,471,Metro Station,"['Dance/Electronic', 'Alternative/Indie']"
466,472,3 Doors Down,
467,473,Dream Street,
468,474,Craig David,
469,475,Eminem,
470,476,M. Pokora,
471,477,Daniel Merriweather,
472,478,ВИА Гра,
473,479,Westlife,"['Pop', 'Traditional pop']"
474,480,Guf,
475,481,Simple Plan,
476,482,Jeremih,"['Contemporary R&B', 'Hip hop music']"
477,483,Centr,
478,484,Ne-Yo,"['Contemporary R&B', 'Pop music', 'Hip hop soul']"
479,485,Kelis,"['Electronic dance music', 'Dance/Electronic']"
480,486,30 Seconds to Mars,
481,487,The Birthday Massacre,"['Dance/Electronic', 'Alternative/Indie']"
482,488,Three Days Grace,
483,489,Limp Bizkit,
484,490,Seether,
485,491,Fort Minor,
486,492,Funeral for a Friend,
487,493,Lostprophets,"['Rock', 'Dance/Electronic']"
488,494,Finch,
489,495,This Beautiful Republic,
490,496,Cold,"['Rock', 'Hip-Hop/Rap']"
491,497,Papa Roach,"['Death metal', 'Rock']"
492,498,Paramore,
493,499,Flyleaf,
494,500,Bullet for My Valentine,
495,501,Angels & Airwaves,
496,502,LaFee,"['Pop', 'R&B/Soul']"
497,503,In Flames,"['Death metal', 'Progressive metal', 'Metal']"
498,504,HIM,
499,505,Digital Summer,
500,506,Anathema,"['Death metal', 'Rock']"
501,507,Saosin,
502,508,Tracktor Bowling,
503,509,Pitchshifter,"['Dance/Electronic', 'Metal']"
504,510,P.O.D.,"['Rock', 'Hip-Hop/Rap']"
505,511,U2,
506,512,Deftones,
507,513,Traff!c,
508,514,Ill Niño,"['Groove metal', 'Rock', 'Hip-Hop/Rap']"
509,515,Clan of Xymox,"['Electronic dance music', 'Dance/Electronic', 'Alternative/Indie']"
510,516,Celldweller,
511,517,Korn,"['Groove metal', 'Rock', 'Dance/Electronic']"
512,518,Within Temptation,
513,519,Static-X,"['Groove metal', 'Rock']"
514,520,Fluke,"['Dance/Electronic', 'Hip-Hop/Rap']"
515,521,happysad,
516,522,Lacrimosa,
517,523,Lindsay Lohan,
518,524,Jeffree Star,
519,525,Gwen Stefani,"['Electronic dance music', 'Dance/Electronic']"
520,526,La Roux,
521,527,Lil' Wayne,
522,528,Pixie Lott,
523,529,Paul van Dyk,"['Electronic dance music', 'Dance/Electronic']"
524,530,Alphabeat,"['Pop', 'Dance/Electronic']"
525,531,Taio Cruz,"['Contemporary R&B', 'Pop music', 'Hip hop music', 'Dance music']"
526,532,Little Boots,
527,533,Oasis,
528,534,No Doubt,"['Pop', 'Dance/Electronic', 'Christian']"
529,535,Sophie Ellis-Bextor,"['Dance/Electronic', 'Pop']"
530,536,Good Charlotte,
531,537,The Used,
532,538,Maroon 5,
533,539,Gossip,
534,540,Fall Out Boy,"['Pop rock', 'Pop music', 'Alternative rock', 'emo pop']"
535,541,Space Cowboy,
536,542,Pitty,
537,543,Nicole Scherzinger,
538,544,Adam Lambert,"['Electronic dance music', 'Pop', 'Deep house']"
539,545,Flo Rida,
540,546,The Ting Tings,"['Electronic dance music', 'Alternative/Indie']"
541,547,Kid Cudi,
542,548,Ellie Goulding,"['Electronic dance music', 'Dance/Electronic', 'Folk music']"
543,549,The Sonics,
544,550,The Fleshtones,
545,551,The Satelliters,
546,552,The Barracudas,
547,553,The Staggers,
548,554,The Kinks,
549,555,The Swingin' Neckbreakers,
550,556,The Strollers,"['Alternative/Indie', 'Rock']"
551,557,The Fuzztones,
552,558,The Maharajas,
553,559,Southern Culture on the Skids,"['Country music', 'Rock']"
554,560,The Woggles,
555,561,The Untamed Youth,
556,562,The Who,
557,563,Small Faces,
558,564,Mahalia Jackson,
559,565,Howlin' Wolf,
560,566,Jackie Wilson,
561,567,Sam Cooke,"['Soul music', 'Gospel music', 'Rhythm and blues']"
562,568,The Vice Barons,
563,569,Otis Redding,"['Soul music', 'Rhythm and blues']"
564,570,Little Richard,
565,571,LaVern Baker,"['R&B/Soul', 'Jazz']"
566,572,Ray Charles,"['Country music', 'R&B/Soul']"
567,573,The Detroit Cobras,
568,574,Big Mama Thornton,"['R&B/Soul', 'Blues']"
569,575,Aretha Franklin,"['Soul music', 'Gospel music', 'Jazz', 'Pop music', 'Blues', 'Rock']"
570,576,Marvin Gaye,"['Soul music', 'Rhythm and blues', 'Psychedelic soul', 'Pop music', 'Funk', 'Jazz', 'Progressive soul']"
571,577,Ruth Brown,
572,578,James Brown,
573,579,Big Maybelle,"['R&B/Soul', 'Blues']"
574,580,Muddy Waters,
575,581,Elmore James,
576,582,Sonny Boy Williamson,
577,583,John Lee Hooker,
578,584,The Isley Brothers,"['R&B/Soul', 'Rock']"
579,585,Chuck Berry,
580,586,Professor Longhair,"['New Orleans blues', 'New Orleans rhythm and blues', 'Louisiana blues', 'Boogie-woogie']"
581,587,Sister Rosetta Tharpe,"['Gospel', 'Blues']"
582,588,Big Joe Turner,
583,589,Andre Williams,"['R&B/Soul', 'Christian']"
584,590,Louis Prima,"['Traditional pop', 'Jazz']"
585,591,Charles Aznavour,
586,592,Ennio Morricone,"['Film score', 'Classical music', 'Absolute music', 'Jazz', 'Pop music', 'Rock']"
587,593,Renato Carosone,
588,594,The Pretty Things,"['Rock', 'Blues']"
589,595,The Titty Twisters Orchestra,
590,596,The Montesas,
591,597,The Easybeats,
592,598,The Gruesomes,
593,599,David Bowie,"['Art rock', 'Glam rock', 'Pop rock', 'Pop music', 'Electronic music', 'Experimental music', 'Rock']"
594,600,le bowl,
595,601,Prince,"['Hip-Hop/Rap', 'Pop']"
596,602,Iron & Wine,
597,603,Aphex Twin,"['Intelligent dance music', 'Experimental music', 'Techno', 'Ambient music']"
598,604,Kings of Convenience,"['Electronic dance music', 'Rock']"
599,605,Beastie Boys,
600,606,José González,
601,607,Jethro Tull,
602,608,Tortoise,"['Dance/Electronic', 'Electronic dance music', 'Alternative/Indie', 'Hip-Hop/Rap']"
603,609,Nick Drake,
604,610,Miles Davis,
605,611,The Sea and Cake,
606,612,Talking Heads,
607,613,John Coltrane,"['Hard bop', 'Modal jazz', 'Free jazz', 'Avant-garde jazz']"
608,614,Pearl Jam,
609,615,Elliott Smith,
610,616,Squarepusher,"['Dance/Electronic', 'Classical']"
611,617,The Roots,"['Hip-Hop/Rap', 'Pop']"
612,618,Belle and Sebastian,
613,619,A Tribe Called Quest,
614,620,Pulp,
615,621,The Album Leaf,"['Dance/Electronic', 'Rock']"
616,622,Sufjan Stevens,"['Dance/Electronic', 'Alternative/Indie']"
617,623,Clogs,
618,624,Great Lake Swimmers,
619,625,Thelonious Monk,
620,626,A.A. Bondy,
621,627,Saint Etienne,"['Electronic dance music', 'Pop']"
622,628,Andrew York,"['Classical', 'Alternative/Indie', 'Pop']"
623,629,of Montreal,
624,630,Neil Young,"['Country music', 'Rock']"
625,631,Einstürzende Neubauten,
626,632,Explosions in the Sky,
627,633,Ornette Coleman,
628,634,Μιχάλης Χατζηγιάννης,
629,635,Teen Angels,"['Pop', 'Hip-Hop/Rap']"
630,636,Ivi Adamou,
631,637,Helena Paparizou,
632,638,Kalomoira,
633,639,Milan Stanković,
634,640,Άννα Βισση,"['Pop', 'Dance/Electronic']"
635,641,Laura Pausini,
636,642,Banghra,
637,643,Nikolas Metaxas,"['Rock', 'Pop music', 'Alternative rock']"
638,644,Inna,"['Electronic dance music', 'Pop', 'Deep house']"
639,645,Stavento,
640,646,RBD,
641,647,Eleftheria Eleftheriou,
642,648,Antonis Remos,
643,649,D'Nash,
644,650,Giorgos Papadopoulos,
645,651,Funky G,"['Funk', 'Hip hop music', 'West Coast hip hop']"
646,652,Hadise,
647,653,Watch Tower Bible and Tract Society of PA,
648,654,Onirama,
649,655,Jessy Matador,
650,656,Master Tempo,
651,657,Paolo Meneguzzi,
652,658,Floricienta,
653,659,Erreway,
654,660,Dima Bilan,
655,661,Stromae,
656,662,Tamta,
657,663,Sakis Rouvas,"['Pop', 'Electronic dance music']"
658,664,Karolina,
659,665,Giannis Ploutarxos,
660,666,Chanée & N'evergreen,
661,667,Evridiki,
662,668,Mando,
663,669,Eric Saade,
664,670,Safura,
665,671,Alkistis Protopsalti,
666,672,Denise Rosenthal,
667,673,Christos Dantis,
668,674,Darin,"['Country music', 'Traditional pop']"
669,675,Despoina Olympiou,
670,676,Yohanna,"['Pop', 'Holiday']"
671,677,Kostas Martakis,
672,678,Soulthrow,
673,679,Glee Cast,
674,680,The Veronicas,"['Electronic dance music', 'Pop']"
675,681,Demi Lovato,"['Pop music', 'Pop rock', 'Contemporary R&B']"
676,682,Lights,"['Dance/Electronic', 'R&B/Soul', 'Pop']"
677,683,John Mayer,"['Pop music', 'Soft rock', 'Blues rock']"
678,684,American Idiot Cast,
679,685,Nick Jonas & The Administration,"['Pop', 'Death metal']"
680,686,Selena Gomez & the Scene,
681,687,All Time Low,
682,688,Honor Society,
683,689,Florence + the Machine,
684,690,Marina & the Diamonds,
685,691,Owl City,"['Electronic dance music', 'Dance/Electronic']"
686,692,Mitchel Musso,
687,693,Hey Monday,
688,694,Darren Criss,
689,695,Push Play,
690,696,The Pierces,
691,697,Sia,"['Electronic dance music', 'Dance/Electronic']"
692,698,Duncan Sheik & Steven Sater,
693,699,Esmée Denters,
694,700,Boyce Avenue,
695,701,Shakira,"['Electronic dance music', 'Folk music']"
696,702,Ester Dean,
