Column1,Column2
red_hot_chili_peppers,"['Rap_rock', 'Alternative_rock', 'Funk_metal', 'Funk_rock']"
travis,
modest_mouse,"['Art_punk', 'Alternative_rock', 'Indie_rock']"
band_of_horses,"['Southern_rock', 'Alternative_rock', 'Indie_rock', 'Power_pop', 'Folk_rock']"
yeong-wook_jo,
interpol,
queens_of_the_stone_age,"['Stoner_rock', 'Alternative_metal', 'Hard_rock', 'Alternative_rock']"
the_beatles,"['Pop_music', 'Rock_music']"
kings_of_leon,"['Alternative_rock', 'Garage_rock', 'Southern_rock']"
the_killers,"['Alternative_rock', 'New_wave_music', 'Indie_rock', 'Pop_rock', 'Post-punk_revival', 'Heartland_rock', 'Synth-pop']"
green_day,"['Pop_punk', 'Punk_rock', 'Alternative_rock']"
devendra_banhart,"['New_Weird_America', 'Freak_folk', 'Psychedelic_folk']"
sunset_rubdown,"['Art_rock', 'Indie_rock']"
nine_inch_nails,"['Alternative_rock', 'Electronic_rock', 'Industrial_music', 'Industrial_metal', 'Dark_ambient', 'Industrial_rock']"
nirvana,
eels,
clap_your_hands_say_yeah,"['Indie_rock', 'Indie_pop']"
thom_yorke,"['Alternative_rock', 'Electronic_music', 'Experimental_rock', 'Intelligent_dance_music']"
massive_attack,['Trip_hop']
keyshia_cole,
racionais_mc's,"['Gangsta_rap', 'Political_hip_hop']"
toni_braxton,
elo_da_corrente,
teta_lando,['World_music']
flagelo_urbano,
bob_marley_&_the_wailers,
adriana_calcanhotto,['M?sica_popular_brasileira']
maxwell,
pharoahe_monch,['Hip_hop_music']
common,
bob_marley,
whitney_houston,
tamia,
bryan_adams,['Rock_music']
lokua_kanza,
nach,
kid_abelha,"['New_wave_music', 'Pop_rock']"
mariah_carey,
tina_turner,
9th_wonder,['Hip_hop_music']
floetry,
marisa_monte,['Música_popular_brasileira']
mary_j._blige,
jill_scott,
sara_tavares,"['World_music', 'Jazz_music', 'Pop_music']"
céline_dion,
erykah_badu,
nas,
richard_marx,"['Adult_contemporary_music', 'Soft_rock', 'Pop_rock']"
dru_hill,
maria_bethânia,
mos_def,
faith_evans,
avant,
bob_da_rage_sense,
angie_stone,
gang_starr,"['East_Coast_hip_hop', 'Jazz_rap']"
papa_wemba,['Soukous']
2pac,
brandy,
sam_the_kid,
dealema,
boss_ac,"['Hip_hop_Tuga', 'Rap_music']"
ana_carolina,
dilated_peoples,['Hip_hop_music']
janet_jackson,
peter_tosh,
monica,
rihanna,
britney_spears,
jordin_sparks,
kelly_clarkson,
christina_aguilera,
ashlee_simpson,
leona_lewis,
beyoncé,
sugababes,
david_cook,
lily_allen,
jennifer_lopez,
katy_perry,
alicia_keys,
p!nk,
panic_at_the_disco,
david_archuleta,['Pop_music']
katharine_mcphee,
black_eyed_peas,"['Dance-pop', 'Pop_music', 'Contemporary_R&B', 'Pop-rap', 'Electropop', 'Hip_hop_music']"
kate_voegele,"['Folk-pop', 'Pop_rock', 'Pop_music']"
kat_deluna,"['Hip_hop_music', 'Latin_music_(genre)', 'Contemporary_R&B', 'Dancehall']"
danity_kane,"['Dance_music', 'Contemporary_R&B', 'Pop_music', 'Hip_hop_music']"
nelly_furtado,
natasha_bedingfield,"['Hip_hop_music', 'Blue-eyed_soul', 'Contemporary_R&B', 'Pop_music']"
cassie,
allison_iraheta,['Pop_rock']
ciara,
matt_pokora,
alanis_morissette,
keri_hilson,['Contemporary_R&B']
hilary_duff,
haley_james_scott,
fergie,
jonas_brothers,"['Pop_rock', 'Pop_punk', 'Power_pop']"
ashanti,
the_saturdays,
cobra_starship,"['Dance-pop', 'Alternative_rock', 'Pop_punk', 'Synthpop', 'Alternative_dance']"
ashley_tisdale,
jojo,
chris_brown,
david_guetta,
justin_timberlake,
t.i.,
kanye_west,
kelly_rowland,
avril_lavigne,
no_angels,
sandy,
vanessa_petruo,
alexander,
queensberry,
fady_maalouf,['Crossover_(music)']
cher,
barbara_schöneberger,
colbie_caillat,
annett_louisan,['Chanson']
taylor_swift,
nadja_benaissa,
lena,
cassandra_steen,"['Soul_music', 'R&B']"
wir_sind_helden,"['Pop_rock', 'Alternative_rock', 'Pop_music']"
the_pussycat_dolls,
monrose,"['Dance-pop', 'Contemporary_R&B', 'Pop_music']"
gabrielle,
cheryl_cole,
milow,['Acoustic_music']
sarah_connor,
jason_mraz,
brad_paisley,['Country_music']
silbermond,"['German_rock', 'Alternative_rock', 'Pop_rock']"
diyana,
maria_mena,['Folk_music']
shania_twain,
jennifer_chung,
a_fine_frenzy,
lucylicious,
sugarland,['Country_music']
christina_stürmer,"['Pop_rock', 'Rock_music', 'Pop_music']"
jack_johnson,
big_bang,
???,
2pm,"['Hip_hop_music', 'K-pop', 'Electronic_music', 'Contemporary_R&B']"
katatonia,"['Doom_metal', 'Death-doom', 'Dark_rock', 'Progressive_metal', 'Progressive_rock']"
skillet,
????800,
jay_park,"['Korean_hip_hop', 'Contemporary_R&B']"
??????,
?????,
uverworld,"['Pop_rock', 'Alternative_rock', 'Rap_rock', 'Hip_hop_music', 'Jazz_fusion', 'Rock_music', 'J-pop', 'Industrial_music']"
linkin_park,"['Alternative_rock', 'Electronic_rock', 'Nu_metal', 'Pop_rock', 'Rap_rock', 'Alternative_metal']"
evanescence,
????,
blackmore's_night,"['Medieval_folk_rock', 'Folk_rock', 'Celtic_rock']"
c.n.blue,
buck-tick,"['Industrial_rock', 'Post-punk', 'Gothic_rock', 'Alternative_rock', 'Punk_rock']"
bad_religion,"['Melodic_hardcore', 'Punk_rock', 'Hardcore_punk', 'Skate_punk']"
fairuz,"['Arabic_music', 'Lebanese_music']"
t.m.revolution,
cascada,['Eurodance']
trax,
b2st,
enya,"['New-age_music', 'World_music', 'Celtic_music', 'Pop_music']"
gackt,"['Rock_music', 'Pop_music']"
sinamore,['Gothic_metal']
remi_bandali,
super_junior,"['K-pop', 'Dance-pop', 'Contemporary_R&B', 'Hip_hop_music', 'Electronic_music']"
????,
news,
l'arc~en~ciel,
?-miyavi-,
www.djfahad.com,
?,
2ne1,"['Dance-pop', 'K-pop', 'Hip_hop_music', 'Electropop', 'Contemporary_R&B']"
rentrer_en_soi,"['Progressive_rock', 'Alternative_rock', 'Gothic_rock', 'Metalcore']"
3mmey,
the_all-american_rejects,"['Pop_rock', 'Alternative_rock', 'Emo', 'Pop_punk', 'Emo_pop', 'Power_pop']"
???,
the_rasmus,"['Alternative_metal', 'Symphonic_rock', 'Soft_rock', 'Funk_rock', 'Gothic_rock', 'Rock_music', 'Hard_rock', 'Pop_rock', 'Alternative_rock']"
hyde,
akira_yamaoka,"['Alternative_rock', 'Trip_hop', 'Dark_ambient', 'Ambient_music', 'Industrial_music', 'Video_game_music']"
crossfade,
g-dragon,
gd&top,
chinese_mix,
blink-182,"['Skate_punk', 'Pop_punk', 'Punk_rock', 'Alternative_rock']"
after_school,
wasted_land,
laith_al-deen,
the_national,
cordel_do_fogo_encantado,
sigur_rós,
tokyo_police_club,"['Alternative_rock', 'Indie_rock', 'Post-punk_revival']"
the_kills,"['Indie_rock', 'Garage_rock', 'Blues_rock', 'Lo-fi_music']"
móveis_coloniais_de_acaju,"['Ska', 'Indie_rock']"
mombojó,
bat_for_lashes,"['Dream_pop', 'Baroque_pop', 'Art_pop', 'Folktronica', 'Indie_pop', 'Synth-pop']"
the_strokes,"['Post-punk_revival', 'Indie_rock', 'Garage_rock_revival']"
yeah_yeah_yeahs,"['Dance-punk', 'Garage_rock', 'Indie_rock', 'Art_punk', 'Post-punk_revival', 'Garage_punk_(fusion_genre)']"
rilo_kiley,"['Emo_music', 'Indie_rock', 'Indie_pop']"
the_cribs,"['Garage_rock', 'Alternative_rock', 'Indie_rock', 'Punk_rock', 'Lo-fi_music', 'Power_pop', 'Post-punk_revival']"
the_libertines,"['Garage_rock', 'Punk_rock', 'Post-punk_revival', 'Indie_rock']"
the_smiths,"['Indie_rock', 'Post-punk', 'Jangle_pop', 'Alternative_rock']"
kate_nash,"['Indie_rock', 'Indie_pop', 'Grunge', 'Garage_punk_(fusion_genre)']"
wolf_parade,"['Indie_rock', 'Post-punk_revival']"
klaxons,"['Dance-punk', 'Indie_rock', 'Electronic_rock', 'Post-punk_revival', 'New_rave']"
broken_social_scene,"['Indie_rock', 'Soul_music', 'Post-rock', 'Experimental_rock', 'Noise_pop']"
spoon,
black_lips,"['Garage_punk_(fusion_genre)', 'Psychedelic_rock', 'Indie_rock', 'Garage_rock', 'Lo-fi_music', 'Punk_rock']"
the_smashing_pumpkins,['Alternative_rock']
she_&_him,"['Alternative_country', 'Indie_pop', 'Indie_folk']"
o_teatro_mágico,
los_hermanos,"['Skacore', 'M?sica_popular_brasileira', 'Indie_rock', 'Alternative_rock']"
animal_collective,
joy_division,"['Gothic_rock', 'Post-punk']"
the_tallest_man_on_earth,"['Folk_music', 'Indie_folk']"
the_rakes,"['Art_punk', 'Post-punk_revival', 'Indie_rock', 'Dance-punk', 'Art_rock']"
múm,['Experimental_pop']
bon_iver,"['Folktronica', 'Art_pop', 'Indie_folk']"
ra_ra_riot,"['Baroque_pop', 'Indie_rock']"
manu_chao,"['Ska', 'Reggae', 'Latin_alternative', 'Worldbeat']"
art_brut,"['Art_punk', 'Indie_rock', 'Britpop']"
poney_express,
she_wants_revenge,"['Post-punk_revival', 'Gothic_rock']"
local_natives,['Indie_rock']
mundo_livre_s/a,['Mangue_Bit']
silverchair,"['Alternative_rock', 'Grunge', 'Art_rock']"
jónsi,"['Worldbeat', 'Avant-rock', 'Contemporary_classical_music', 'Ambient_music']"
backstreet_boys,"['Teen_pop', 'Pop_music', 'Contemporary_R&B', 'Pop_rock', 'Adult_contemporary_music', 'Dance-pop']"
jesse_mccartney,
aaron_carter,"['Pop_music', 'Hip_hop_music']"
justin_bieber,
*nsync,
noize_mc,
miley_cyrus,
blue,
savage_garden,"['Pop_rock', 'Soft_rock', 'Pop_music']"
3oh!3,
jessica_simpson,
ke$ha,
darren_hayes,"['Electronica', 'Soft_rock', 'Pop_music', 'Pop_rock']"
usher,
nick_carter,
nevershoutnever!,
metro_station,
3_doors_down,"['Alternative_rock', 'Post-grunge', 'Hard_rock']"
dream_street,"['Dance-pop', 'Teen_pop']"
craig_david,"['Contemporary_R&B', 'UK_garage', 'Dance_music', 'Hip_hop_music']"
eminem,
m._pokora,"['Contemporary_R&B', 'Pop_music', 'Crunk', 'Hip_hop_music']"
daniel_merriweather,"['Blue-eyed_soul', 'Contemporary_R&B', 'Acid_jazz', 'Neo-soul']"
???_???,
westlife,['Pop_music']
guf,
simple_plan,"['Power_pop', 'Pop_rock', 'Alternative_rock', 'Pop_punk', 'Emo']"
jeremih,"['Contemporary_R&B', 'Hip_hop_music']"
centr,
ne-yo,
kelis,
30_seconds_to_mars,
the_birthday_massacre,"['New_wave_music', 'Dark_wave', 'Gothic_rock', 'Electronic_rock']"
three_days_grace,"['Nu_metal', 'Alternative_metal', 'Alternative_rock', 'Hard_rock', 'Post-grunge']"
limp_bizkit,"['Rap_rock', 'Nu_metal', 'Rap_metal']"
seether,"['Alternative_metal', 'Nu_metal', 'Hard_rock', 'Post-grunge']"
fort_minor,"['Alternative_hip_hop', 'Rap_rock']"
funeral_for_a_friend,"['Melodic_hardcore', 'Post-hardcore', 'Screamo', 'Alternative_rock', 'Emo']"
lostprophets,"['Hard_rock', 'Alternative_rock', 'Post-grunge', 'Alternative_metal', 'Nu_metal']"
finch,
this_beautiful_republic,['Christian_rock']
cold,
papa_roach,"['Alternative_rock', 'Hard_rock', 'Rap_metal', 'Alternative_metal', 'Nu_metal']"
paramore,"['Emo', 'Emo_pop', 'Alternative_rock', 'Pop_rock', 'Pop_punk', 'Power_pop']"
flyleaf,
bullet_for_my_valentine,
angels_&_airwaves,"['Alternative_rock', 'Neo-progressive_rock', 'Space_rock', 'Art_rock']"
lafee,['Pop_rock']
in_flames,"['Alternative_metal', 'Melodic_death_metal']"
him,
digital_summer,"['Alternative_metal', 'Post-grunge', 'Hard_rock']"
anathema,
saosin,"['Post-hardcore', 'Emo', 'Alternative_rock']"
tracktor_bowling,"['Nu_metal', 'Alternative_metal']"
pitchshifter,"['Industrial_metal', 'Industrial_rock']"
p.o.d.,"['Hard_rock', 'Rap_metal', 'Rapcore', 'Alternative_metal', 'Nu_metal', 'Christian_metal']"
u2,"['Post-punk', 'Alternative_rock', 'Rock_music']"
deftones,"['Alternative_metal', 'Experimental_rock', 'Nu_metal', 'Art_rock']"
traff!c,
ill_niño,"['Metalcore', 'Latin_metal', 'Nu_metal', 'Alternative_metal']"
clan_of_xymox,"['New_wave_music', 'Dark_wave', 'Gothic_rock', 'Electronic_rock']"
celldweller,
korn,"['Nu_metal', 'Alternative_metal']"
within_temptation,"['Symphonic_metal', 'Gothic_metal', 'Celtic_metal', 'Doom_metal']"
static-x,"['Alternative_metal', 'Nu_metal', 'Industrial_metal']"
fluke,
happysad,['Rock_music']
lacrimosa,
lindsay_lohan,
jeffree_star,
gwen_stefani,
la_roux,"['Synth-pop', 'New_wave_music']"
lil'_wayne,
pixie_lott,
paul_van_dyk,"['Progressive_house', 'Psytrance', 'House_music', 'Electro_house', 'Uplifting_trance', 'Progressive_trance']"
alphabeat,"['Dance-pop', 'Wonky_pop', 'Europop', 'Indie_pop', 'House_music', 'Power_pop']"
taio_cruz,"['Pop_music', 'Hip_hop_music', 'Dance_music', 'Contemporary_R&B']"
little_boots,"['Dance-pop', 'Disco', 'Synthpop', 'House_music']"
oasis,
no_doubt,"['Synth-pop', 'Pop_rock', 'Alternative_rock', 'Dancehall', 'New_wave_music', 'Ska_punk']"
sophie_ellis-bextor,
good_charlotte,"['Alternative_rock', 'Punk_rock', 'Pop_punk', 'Emo', 'Pop_rock']"
the_used,"['Emo', 'Post-hardcore', 'Screamo', 'Alternative_rock', 'Pop_punk']"
maroon_5,"['Neo_soul', 'Blue-eyed_soul', 'Alternative_rock', 'Pop_music', 'Pop_rock', 'Funk_rock', 'Soft_rock']"
gossip,
fall_out_boy,"['Emo', 'Pop_music', 'Pop_rock', 'Alternative_rock', 'Emo_pop', 'Pop_punk']"
space_cowboy,
pitty,"['Alternative_metal', 'Hard_rock', 'Punk_rock', 'Melodic_hardcore', 'Folk_music', 'Alternative_rock']"
nicole_scherzinger,
adam_lambert,"['Pop_music', 'Pop_rock', 'Dance_music', 'Electronic_music']"
flo_rida,
the_ting_tings,"['Dance-pop', 'Indie_pop', 'Synth-pop', 'Dance-punk', 'Indie_rock']"
kid_cudi,
ellie_goulding,
the_sonics,"['Garage_rock', 'Proto-punk', 'Rock_and_roll', 'Garage_punk_(fusion_genre)']"
the_fleshtones,
the_satelliters,
the_barracudas,"['Surf_music', 'Jangle_pop', 'Pop_punk', 'Garage_rock']"
the_staggers,
the_kinks,"['Rock_music', 'Pop_music']"
the_swingin'_neckbreakers,
the_strollers,
the_fuzztones,"['Garage_rock', 'Psychedelic_rock']"
the_maharajas,
southern_culture_on_the_skids,"['Experimental_rock', 'Rockabilly', 'Alternative_rock', 'Surf_music', 'Psychobilly', 'Neo-psychedelia']"
the_woggles,
the_untamed_youth,
the_who,"['Power_pop', 'Hard_rock', 'Rock_music']"
small_faces,"['Rhythm_and_blues', 'Pop_rock', 'Psychedelic_rock', 'Power_Pop', 'Rock_music']"
mahalia_jackson,['Gospel_music']
howlin'_wolf,['Chicago_blues']
jackie_wilson,"['Soul_music', 'Rhythm_and_blues', 'Doo-wop', 'Rock_and_roll']"
sam_cooke,"['Soul_music', 'Gospel_music', 'Rhythm_and_blues']"
the_vice_barons,
otis_redding,"['Soul_music', 'Rhythm_and_blues']"
little_richard,"['Rhythm_and_blues', 'Rock_and_roll', 'Gospel_music', 'Soul_music']"
lavern_baker,"['Rhythm_and_blues', 'Blues']"
ray_charles,"['Soul_music', 'Gospel_music', 'Rock_and_roll', 'Blues', 'Rhythm_and_blues', 'Country_music', 'Jazz']"
the_detroit_cobras,['Garage_rock']
big_mama_thornton,"['Rhythm_and_blues', 'Texas_blues']"
aretha_franklin,
marvin_gaye,"['Jazz', 'Funk', 'Psychedelic_soul', 'R&B', 'Pop_music', 'Soul_music']"
ruth_brown,"['Rhythm_and_blues', 'Funk', 'Jazz', 'Blues', 'Doo-wop', 'Soul_music', 'Gospel_music']"
james_brown,
big_maybelle,"['Blues', 'Rhythm_and_blues', 'Gospel_music']"
muddy_waters,"['Chicago_blues', 'Delta_blues', 'Blues']"
elmore_james,['Blues']
sonny_boy_williamson,
john_lee_hooker,['Blues']
the_isley_brothers,"['Soul_music', 'R&B', 'Funk', 'Rock_music']"
chuck_berry,
professor_longhair,"['New_Orleans_blues', 'Louisiana_blues', 'New_Orleans_R&B', 'Boogie-woogie']"
sister_rosetta_tharpe,"['Rhythm_and_blues', 'Blues', 'Jazz', 'Gospel_music']"
big_joe_turner,"['Jump_blues', 'Blues', 'Rhythm_&_blues']"
andre_williams,
louis_prima,"['Big_band', 'Jazz', 'Traditional_pop', 'Swing_music', 'Jump_blues']"
charles_aznavour,
ennio_morricone,"['Absolute_music', 'Classical_music', 'Pop_music', 'Film_music', 'Jazz', 'Rock_music']"
renato_carosone,"['Boogie-woogie', 'Folk_music', 'Swing_music', 'Blues', 'Jazz', 'Light_music', 'Cha-cha-cha_(dance)', 'Canzone_napoletana']"
the_pretty_things,
the_titty_twisters_orchestra,
the_montesas,
the_easybeats,"['Rock_music', 'Pop_music']"
the_gruesomes,['Garage_punk_(fusion_genre)']
david_bowie,
le_bowl,
prince,
iron_&_wine,"['Indie_folk', 'Folk_rock', 'Folk_music']"
