tagID,count,tagValue,translated
1812,90,noise pop,noise pop
164,88,k-pop,k-pop
1353,87,scottish,scottish
3577,87,turkish,turkish
712,87,gospel,gospel
22,87,acid jazz,acid jazz
5286,86,the vampire diaries,the vampire diaries
831,85,the best,the best
505,84,80s pop,80s pop
159,84,anime,anime
232,84,addictive,addictive
1222,83,hardcore punk,hardcore punk
202,82,electro pop,electro pop
2191,82,college rock,college rock
2246,81,underground hip-hop,underground hip-hop
197,81,gangsta rap,gangsta rap
1237,81,2009,2009
70,81,dubstep,dubstep
2785,80,nice,nice
189,80,industrial rock,industrial rock
120,80,world music,world music
9817,79,indie luv,indie luv
2142,79,songs for gil,songs for gil
619,79,groove metal,groove metal
1727,78,glam,glam
1368,78,funny,funny
757,78,indie folk,indie people
1495,77,sex,sex
1372,77,folk metal,folk metal
1096,76,chill zone,chill zone
1100,76,rain,rain
2068,76,irish,irish
1445,75,emotional,emotional
1539,75,melodic hardcore,melodic hardcore
543,74,stoner rock,stoner rock
1074,74,rhythm and blues,rhythm and blues
5818,74,4m4zinq,4m4zinq
738,74,nu-metal,non-metal
6170,74,descoperiri,discoveries
2752,73,fantastic,fantastic
1357,73,eurodance,eurodance
8303,72,tbu,tbu
588,71,psychedelic trance,psychedelic trance
12287,71,melrose place,melrose place
889,71,fav artists,fav artists
2118,70,americana,American
6628,70,barkbarkdisco,barkbarkdisco
2140,70,rock hard,rock hard
2244,70,space rock,space rock
1316,69,jpop,jpop
12209,69,other great tracks,other great tracks
9763,69,singalong,singalong
19,69,80's,80's
6171,68,aana,aana
9820,68,idolo,idol
4328,67,friends,friends
855,67,new rave,new rave
394,67,proto-punk,proto-punk
1023,67,1992,1992
1098,66,miserable,miserable
702,66,smooth,smooth
1859,66,post punk,post punk
604,66,norwegian,norwegian
5819,65,f4nt4stic,f4nt4stic
2700,65,best,best
1348,65,great song,great song
509,64,dance-pop,dance-pop
2064,64,alt-country,alt-country
1833,64,ninja tune,ninja tune
3507,64,brazilian rock,brazilian rock
128,64,hit,hit
251,63,swing,swing
4449,63,90210,90210
507,63,10s,10s
524,62,great,great
689,62,madonna,madonna
8061,62,cool as,cool as
568,62,goa,goa
4847,62,my fav songs,my fav songs
408,62,female vocals,female vocals
2805,62,single,single
885,62,fav songs,fav songs
315,61,asian,asian
2525,61,nu jazz,not jazz
2336,61,favorite artist,favorite artist
302,60,ethnic,ethnic
1858,60,england,england
1680,60,faves,faves
10534,59,alsolike,alsolike
1099,59,christmas blend,christmas blend
955,59,favourite,favourite
1722,59,hard,hard
122,59,old school,old school
1302,58,composer,composer
762,58,not emo,not emo
2217,58,straight edge,straight edge
6172,58,special,special
8503,57,best christmas songs,best christmas songs
514,57,depeche mode,depeche mode
8301,57,lpa,lpa
1671,57,summer song,summer song
3539,57,good shit,good shit
6763,57,prejebeno,fucked up
7797,56,slowies,slowies
1351,56,vocal trance,vocal trance
415,56,nwobhm,nwobhm
494,56,synth,synth
7253,56,check,check
9819,56,my electro feelings,my electro feelings
227,56,comedy,comedy
4549,55,worship,worship
92,55,dope,dope
895,55,british artists,british artists
10585,55,jukebox project,jukebox project
7995,55,eldad,eldad
7996,55,for work,for work
636,55,britney spears,britney spears
6976,55,i love this song,i love this song
1797,55,powerful,powerful
9,55,electro-industrial,electro-industrial
12208,55,new wave and eighties,new wave and eighties
7938,53,pop covers,pop covers
2233,53,twee,two
12029,52,tinosoft,tinosoft
297,52,pop-rock,pop-rock
4356,52,favorite bands,favorite bands
797,52,masterpiece,masterpiece
1032,52,1991,1991
8670,52,iron jesus,iron jesus
3536,52,phat,phat
2511,52,crazy,crazy
771,52,underrated,underrated
3242,52,sick,sick
1889,52,progressive death metal,progressive death metal
4141,51,old,old
44,51,glitch,glitch
4952,51,oui fm,yes fm
1102,51,duets,duets
7252,51,berep shows the love,berep shows the love
842,51,piano rock,piano rock
9821,51,inlove,inlove
1955,50,90's,90's
513,50,nostalgic,nostalgic
8302,50,great memories with my siss,great memories with my siss
137,50,specials to 3mmey,specials to 3mmey
4289,50,songs ive obsessed over,songs ive obsessed over
1219,50,jrock,jrock
144,49,arabic,arabic
1264,49,breakcore,breakcore
853,49,celtic,celtic
9182,49,sxsw2006,sxsw2006
844,49,sensual,sensual
226,49,california,california
8497,49,all the best,all the best
1198,49,dreampop,dreampop
8304,49,oh so catchy,oh so catchy
160,49,noise rock,noise rock
4938,49,my favorites,my favorites
2192,49,album rock,album rock
4430,49,classic country,classic country
245,49,garage,garage
11877,48,awesome-ness,awesome-ness
1593,48,popular,popular
9945,48,fave,fave
207,48,want to see live,want to see live
792,48,1980s,1980s
1086,48,female voices,female voices
3572,48,loved,loved
5104,48,jamaica,jamaica
701,48,beyonce,beyonce
8392,48,ich liebe dich,I love you
8498,47,best songs of the 00s,best songs of the 00s
3829,47,straight up modern rock,straight up modern rock
3048,47,chanson francaise,French song
9823,47,rock me babe,rock me babe
3534,47,tight,tight
9822,47,remember him,remember him
3605,47,favourite songs,favourite songs
10230,46,listened more than 10 times in a row,listened more than 10 times in a row
8300,46,good old times,good old times
198,46,rapcore,rapcore
6304,46,my favorite,my favorite
758,46,instrumental hip-hop,instrumental hip-hop
670,46,girl power,girl power
956,46,the beowulfs choice,the beowulfs choice
709,46,1982,1982
7865,45,jamaican,jamaican
801,45,hypnotic,hypnotic
849,45,riot grrrl,riot grrrl
4897,45,b-side,b-side
3869,45,songs i absolutely love,songs i absolutely love
780,45,legends,legends
897,45,new wave artists,new wave artists
2887,45,energetic,energetic
2938,45,twilight,twilight
28,45,deutsch,German
1044,45,1995,1995
1048,45,1981,1981
1087,44,justin timberlake,justin timberlake
1373,44,viking metal,viking metal
1040,44,1996,1996
737,44,great lyrics,great lyrics
3588,44,u2,u2
499,44,melodic,melodic
10490,44,bliss,bliss
3970,44,lol,lol
989,44,duet,duet
8728,44,bi daha dinlicem,I will listen again
11757,43,film music composer,film music composer
4258,43,barrelhouse covers,barrelhouse covers
6450,43,handclaps,handclaps
2137,43,i am canadian,i am canadian
1238,43,2007,2007
442,43,sludge,sludge
3541,43,the good stuff,the good stuff
123,43,new york,new york
9818,42,neon space,neon space
4955,42,1008,1008
8052,42,better than metallica,better than metallica
12218,42,vfsix,vfsix
3538,42,real talk,real talk
750,42,post hardcore,post hardcore
3537,42,the truth,the truth
4052,42,brazilian music,brazilian music
5532,42,baixar,download
1228,42,guitar solo,solo guitar
371,42,r and b,r and b
10559,42,ohmydamn,ohmydamn
1017,42,math rock,math rock
7937,42,pop singles,pop singles
2610,41,new weird america,new weird america
1530,41,breathtaking,breathtaking
12021,41,weekly top tracks,weekly top tracks
2215,41,russian rock,russian rock
3183,41,nelly furtado,nelly stolen
3175,41,harmonies,harmonies
6162,41,hip hop/rap,hip hop/rap
1223,41,marisa mix,marisa mix
2784,41,france,france
1159,41,deep,deep
11956,41,jet set radio future,jet set radio future
535,41,baroque,baroque
414,41,melodic metal,melodic metal
11792,40,songs to download later,songs to download later
835,40,nostalgia,nostalgia
4283,40,let's dance,let's dance
991,40,musical,musical
1880,40,one tree hill,one tree hill
9471,40,0 play yet,0 play yet
6629,40,bark,bark
6482,40,skins soundtrack,skins soundtrack
567,40,rave,rave
547,40,fusion,fusion
9764,40,i am in love with this song,i am in love with this song
794,40,play this loud enough to raise the dead,play this loud enough to raise the dead
259,40,psychobilly,psychobilly
6573,40,sufi,sufi
4397,39,political,political
3828,39,goddesses,goddesses
2143,39,my angular favourites,my angular favourites
12642,39,gluhie 90e,gluhie 90e
1434,39,the beatles,the beatles
1843,39,russian alternative,russian alternative
11933,39,girlamazing,girlamazing
1640,39,samba,samba
9765,39,hyper,hyper
9824,39,i love my dad taste,i love my dad taste
62,39,trip hop,trip hop
1550,38,seventies,seventies
12265,38,favorite bands and artists,favorite bands and artists
145,38,kpop,Korean pop
1505,38,preferidas,preferred
3810,38,jesus,jesus
493,38,glee,glee
3586,38,contemporary classical,contemporary classical
252,38,mod,against
3496,38,artists,artists
11791,38,not-emo,not-emo
6256,38,wonderful through headphones,wonderful through headphones
2766,38,acoustic guitar,acoustic guitar
1682,38,technical metal,technical metal
11439,38,lefties,lefties
6645,38,new country,new country
3182,38,mya,mya
1847,37,manchester,manchester
1952,37,00's,00's
1079,37,trancecore,trancecore
3174,37,brandy,brandy
6794,37,cities,cities
8506,37,oscar winning songs,oscar winning songs
12219,37,launge,launge
3178,37,tweet,tweet
7643,37,diego,diego
2548,37,heavy,heavy
1208,37,8-bit,8-bit
12022,37,weekly top artists,weekly top artists
1248,37,rio grande do sul,Rio Grande do Sul
3176,37,timbaland,timbaland
1136,37,bass,bass
1084,36,2006,2006
698,36,love song,love song
2166,36,eclectic,eclectic
1951,36,70's,70's
196,36,polish rock,polish rock
3883,36,as,as
7800,36,edit,edit
3545,36,poignant,poignant
2495,36,thrash,thrash
3177,36,missy elliott,missy elliott
5329,36,anti-folk,anti-folk
4530,36,post-punk revival,post-punk revival
3543,36,solid,solid
7640,36,top christian,top christian
124,36,pop dance,pop dance
546,36,jazz fusion,jazz fusion
8397,36,jams,jams
3181,36,contemporary rnb,contemporary rnb
8450,35,redone,redone
3173,35,tyler adam,tyler adam
8307,35,these songs are just amazing,these songs are just amazing
887,35,new wave songs,new wave songs
7641,35,diego 12,diego 12
2197,35,alternative dance,alternative dance
3790,35,fave songs ever,fave songs ever
658,35,lady gaga,lady gaga
2385,35,abstract hip-hop,abstract hip-hop
8501,35,best songs of the 70s,best songs of the 70s
6900,35,title is a full sentence,title is a full sentence
3658,35,jean marc toma,jean marc toma
3555,35,east coast rap,east coast rap
962,35,my fav fun,my fav fun
9472,35,cesar,cease
6576,34,saxophone,saxophone
8500,34,best songs of the 80s,best songs of the 80s
10533,34,recos,recos
957,34,scholes song,scholes song
3542,34,great lyricists,great lyricists
1790,34,retro,retro
2608,34,japan,japan
3882,34,tags,tags
4261,34,delta blues,delta blues
4300,34,sexy songs,sexy songs
8508,34,best songs in the world,best songs in the world
11469,34,myfavoritesongs,myfavoritesongs
8505,34,the best classical opera and film scores,the best classical opera and film scores
11934,34,heartbroke,heartbroke
1734,34,neo-soul,neo-soul
1212,33,favourite artists,favourite artists
8308,33,great moments at et7,great moments at et7
2006,33,duran duran,"standing, standing"
1080,33,mexico,mexico
2138,33,first-rate and free,first-rate and free
4079,33,motown,motown
3547,33,neat,neat
10691,33,triple j,triple j
11798,33,yay,bow
7642,33,jesus 12,jesus 12
1039,33,1997,1997
1247,33,rock gaucho,rock gaucho
1767,33,country ladies,country ladies
11499,33,leftovergrooves,leftovergrooves
1965,33,dance music,dance music
4711,33,random songs,random songs
279,33,ska punk,ska punk
1322,33,post-metal,post-metal
11691,33,egzamin,exam
3925,33,rocksteady,rocksteady
11614,33,wicked women,wicked women
8504,33,best songs of the 50s,best songs of the 50s
1882,32,favorite song,favorite song
2208,32,british invasion,british invasion
9825,32,just chillin,just chillin
569,32,germany,germany
9473,32,rafa,rafa
3179,32,aaliyah,aaliyah
3180,32,kiley dean,kiley dean
2204,32,experimental rock,experimental rock
7894,32,good mood music,good mood music
1642,32,excellent reason for crying,excellent reason for crying
1835,32,beats,beats
9425,32,deep-clash,deep-clash
960,32,my pleasuredome,my pleasuredome
368,32,mexican,mexican
3184,32,ginuwine,ginuwine
683,32,country pop,country pop
12092,31,fascinating,fascinating
5939,31,80s hardcore,80s hardcore
12639,31,winds of soul,winds of soul
4411,31,charmed,charmed
3599,31,pagan,pagan
6824,31,electric blues,electric blues
8306,31,songs that remind me of summer 07-08,songs that remind me of summer 07-08
42,31,synth-pop,synth-pop
3552,31,superb,superb
963,31,touching song,touching song
95,31,autumn,autumn
3187,31,janet jackson,janet jackson
8235,31,1966,1966
6795,31,colors,colors
10362,31,rhythmalizm,rhythmalizm
1107,31,avant garde,avant garde
3535,31,new york shit,new york shit
7644,30,adoracao,adoracao
12041,30,todaysart,todaysart
5693,30,african,african
425,30,pastel,pastel
7255,30,mistagged track,mistagged track
6049,30,female artists,female artists
71,30,hiphop,hiphop
7895,30,good mood songs,good mood songs
3651,30,lostfreeq,lostfreeq
7188,30,approfondire,elaborate on
628,30,wtf,wtf
2362,30,dream,dream
1423,30,humor,humor
958,30,the pedofinder general,the pedofinder general
1387,30,country rock,country rock
2458,30,deep house,deep house
3653,30,chef musinum,chief musinum
8826,29,late night tunes,late night tunes
3554,29,dope cut,dope cut
344,29,witch house,witch house
6796,29,transport,transport
3652,29,new beat,new beat
9972,29,dance - trance,dance - trance
2640,29,beast,beast
2692,29,nintendocore,nintendocore
10110,29,psychosis,psychosis
12638,29,ezbeni,by heart
12220,29,light trip-hop,light trip-hop
9431,29,deepclash,deepclash
1771,29,kickass,kickass
766,29,holiday soundtrack,holiday soundtrack
728,29,rock en espanol,rock in Spanish
9745,29,makes me wanna dance,makes me wanna dance
907,29,synthpop artists,synthpop artists
961,29,zadrotstvo,zadrotstvo
2199,29,british punk,british punk
4613,29,politeconomist realife soundtrack,politeconomist realife soundtrack
814,29,perfection,perfection
11440,29,anarchist,anarchist
4523,29,1990s,1990s
1041,28,2005,2005
8237,28,1967,1967
2272,28,progressive house,progressive house
1469,28,minimal techno,minimal techno
1366,28,freestyle,freestyle
3775,28,2000s,2000s
3259,28,symphonic prog,symphonic prog
3551,28,banger,banger
1455,28,dancehall,dancehall
4273,28,bebop,bebop
1273,28,breakbeat,breakbeat
1973,28,house music,house music
8711,28,riot grrl,riot grrl
9827,28,i want to dance in my underwear,i want to dance in my underwear
7334,28,ottoman,ottoman
896,28,1981 songs,1981 songs
3540,28,ill,ill
1972,27,dance 00s,dance 00s
1964,27,bouncy,bouncy
3560,27,mean,mean
870,27,dnb,dnb
2213,27,beatdown,beatdown
7286,27,prog metal,prog metal
3597,27,russia,russia
892,27,1982 songs,1982 songs
1870,27,funky,funky
978,27,opera,opera
2489,27,video game music,video game music
10,27,harsh ebm,harsh ebm
11738,27,mine,mine
2141,27,my indie friends,my indie friends
899,27,1983 songs,1983 songs
8238,27,1964,1964
3557,27,witty,witty
8499,27,best songs of the 90s,best songs of the 90s
1278,27,crossover,crossover
8462,27,lastfm,lastfm
283,27,raw,raw
10537,27,top100,top100
607,27,dutch,dutch
8305,27,great memories with my geeem,great memories with my geeem
4340,27,surf rock,surf rock
4046,27,italian progressive rock,italian progressive rock
2430,27,good,good
1613,26,bitch,bitch
6363,26,turkce,Turkish
1967,26,sing along,sing along
964,26,ogonj,fire
3706,26,true norwegian black metal,true norwegian black metal
6445,26,post modern,post modern
8310,26,viaje de egresados,graduate trip
8236,26,1965,1965
9826,26,hoy tengo ganas de llorar,today I want to cry
10532,26,wish list,wish list
5778,26,minimalism,minimalism
3234,26,flamenco,flamenco
774,26,amazing voice,amazing voice
9429,26,dark disco,dark disco
6798,26,numbers,numbers
358,26,queen of pop,queen of pop
4922,26,1970's,1970's
147,26,top,top
10092,26,blitz playlist,blitz playlist
4620,26,summer time,summer time
1025,26,1990,1990
3275,26,world fusion,world fusion
9727,26,vocalista feminimo,female vocalist
1426,26,quirky,quirky
1834,25,nu-jazz,not jazz
3559,25,assertive,assertive
3252,25,crunk,crunk
1323,25,grime,grime
3609,25,harmonica,harmonica
2520,25,best songs ever,best songs ever
5010,25,playlist,playlist
268,25,surf,surf
4263,25,chicago blues,chicago blues
3779,25,novelty,novelty
891,25,synthpop songs,synthpop songs
2609,25,freak folk,freak people
3549,25,real hip-hop,real hip-hop
8048,25,driving music,driving music
3186,25,kelly rowland,kelly rowland
6253,25,animals,animals
9828,25,q sexy,q sexy
4956,25,guerilla,guerilla
3185,25,monica,monica
3333,25,danish,danish
6483,25,complete sentences,complete sentences
8015,25,europe,europe
696,25,1970s,1970s
612,25,deathrock,deathrock
8502,25,best songs of the 60s,best songs of the 60s
1532,25,symphonic black metal,symphonic black metal
1966,25,all time hit,all time hit
4721,25,powerful voice,powerful voice
6444,25,coisa de deus,god thing
639,25,queen,queen
2200,25,adult contemporary,adult contemporary
318,25,traditional,traditional
1634,25,modern country,modern country
3657,25,independent,independent
343,24,crust,crust
422,24,male vocals,male vocals
1943,24,poetry,poetry
2384,24,downbeat,downbeat
12026,24,hecho en mexico,made in Mexico
7801,24,song with samples,song with samples
1796,24,smooth jazz,smooth jazz
3188,24,bubba sparxxx,bubba sparxxx
1083,24,dirty south,dirty south
2380,24,favorite artists,favorite artists
1424,24,drugs,drugs
2806,24,divas,two
10212,24,musikfuerrundumdieuhr,musikfuerrundumdieuhr
3550,24,fiya,fiya
550,24,black music 4 black ppl listened 2 by white hipsters,black music 4 black ppl listened 2 by white hipsters
519,24,eighties,eighties
3008,24,good stuff,good stuff
4720,24,hooooooooot,hooooooooot
959,24,po-kraftwerkski,po-kraftwerkski
5322,24,james bond,james bond
1001,24,darkstep,darkstep
8002,24,drive,drive
2892,24,psychill,psychill
3558,23,lyricism,lyricism
2850,23,better than lady gaga,better than lady gaga
1846,23,chillwave,chillwave
2575,23,obscure,obscure
3097,23,warp,warp
2377,23,european,european
1737,23,krautrock,krautrock
6934,23,favourite bands,favourite bands
11878,23,the songs that make me sick with butterflies,the songs that make me sick with butterflies
11879,23,hand claps,hand claps
9427,23,in the witch house family,in the witch house family
9639,23,arkadi,arkadi
661,23,ballads,ballads
261,23,punkabilly,punkabilly
5632,23,spanish metal,spanish metal
66,23,abstract,abstract
7256,23,berep guest dj closedmouth 239645,berep guest dj closedmouth 239645
10363,22,rhymez,rhymez
5694,22,africa,africa
3,22,goth rock,goth rock
1956,22,demo,demo
10138,22,tech - prog death,tech - prog death
8161,22,good bands,good bands
10111,22,tron,tron
2021,22,melodic metalcore,melodic metalcore
2087,22,depressive black metal,depressive black metal
2288,22,under 2000 listeners,under 2000 listeners
9430,22,anti-witch house,anti-witch house
8572,22,bad day,bad day
2091,22,true black metal,true black metal
700,22,60's,60's
3600,22,1969,1969
7474,22,guitar blues,guitar blues
7587,22,frauen und technik,Women and Technology
9433,22,in the chillwave family,in the chillwave family
9829,22,es pop mama,it's pop mom
3807,22,blue,blue
537,22,neofolk,neofolk
2824,22,violin,violin
330,22,death,death
901,21,1984 songs,1984 songs
4605,21,shoegazer,shoegazer
8239,21,1968,1968
1969,21,dance 90s,dance 90s
1975,21,90s dance,90s dance
37,21,groove,groove
4926,21,approved by goku,approved by goku
4928,21,approved by prince vegeta,approved by prince vegeta
2638,21,boybands,boybands
8116,21,turkish rock,turkish rock
12027,21,cocksucker,cocksucker
789,21,2010s,2010s
632,21,rihanna,rihanna
2092,21,norwegian black metal,norwegian black metal
5009,21,rockville ca,rockville ca
5076,21,nasheed,nasheed
8573,21,life on mars,life on mars
4944,21,top 20,top 20
847,21,female vocal,female vocal
1842,21,math metal,math metal
1646,21,just makes you feel good,just makes you feel good
2196,20,new discovery,new discovery
3244,20,acid,acid
3210,20,women,women
4923,20,1980's,1980's
4116,20,latin rock,latin rock
4102,20,4ad,4ad
5193,20,german hiphop,german hiphop
3926,20,psicodelia,psychedelic
664,20,christina aguilera,christina aguilera
1489,20,fav female singers,fav female singers
1968,20,male and female,male and female
2209,20,arena rock,arena rock
501,20,pet shop boys,pet shop boys
12288,20,pretty little liars,pretty little liars
6797,20,girls names,girls names
2534,20,free jazz,free jazz
104,20,chill out,chill out
3631,20,us,us
4774,20,the oc,the oc
8309,20,songs i sing with my mom,songs i sing with my mom
936,20,mariah carey,mariah carey
3343,20,melodic black metal,melodic black metal
1030,20,1986,1986
3310,20,jazzy,jazzy
1024,20,1988,1988
1359,19,modern metal,modern metal
8516,19,raven girls top 20,raven girls top 20
3061,19,orchestral,orchestral
10692,19,beautiful music,beautiful music
3834,19,britrock,britrock
5217,19,guys i would fuck,guys i would fuck
1430,19,big beat,big beat
1101,19,morning,morning
9640,19,bazarov,bazarov
9438,19,neo-electro,neo-electro
1344,19,harmonica blues,harmonica blues
1026,19,1994,1994
795,19,haunting,haunting
1886,19,fucking amazing,fucking amazing
10587,19,tambourine,tambourine
5740,19,watched live,watched live
2056,19,pop-punk,pop-punk
6128,19,phoda,phoda
6213,19,rhythmic noise,rhythmic noise
2660,19,hello project,hello project
351,19,europop,europop
3700,19,finnish metal,finnish metal
1554,19,romantica,romantic
9432,19,broken-clash,broken-clash
6853,19,hey song youre so fucking cute,hey song youre so fucking cute
6928,19,aussie,aussie
131,19,girl groups,girl groups
1845,19,horror punk,horror punk
7040,19,contemporary jazz,contemporary jazz
1684,19,horrorpunk,horrorpunk
4953,19,80s metal,80s metal
5258,19,2003,2003
8899,19,instrumental blues,instrumental blues
9262,19,80s i like,80s i like
9192,19,boyband,boy band
918,19,american artists,american artists
9952,19,totalmente foda,totally fuck
4679,19,japanese music,japanese music
9953,19,makes me wanna kick someones ass,makes me wanna kick someones ass
1869,18,rainy day,rainy day
9973,18,seen in concert,seen in concert
4921,18,1960's,1960's
10588,18,vaguely homosexual,vaguely homosexual
8854,18,buy this,buy this
6801,18,cops,cops
657,18,katy perry,katy perry
4117,18,very kvlt,very kvlt
11442,18,songwriters,songwriters
2606,18,sixties,sixties
6646,18,drinking,drinking
12030,18,puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,fucking whore hopefully and you die with a fucking electric dildo stuck in your hoarse butt
4886,18,female electronic,female electronic
4120,18,norway,norway
12289,18,life unexpected,life unexpected
9183,18,new album loves,new album loves
2183,18,underground,underground
2531,18,turntablism,turntablism
9439,18,deconstruction,deconstruction
1644,18,fuck yeah,fuck yeah
2346,18,new,new
4934,18,60s pop,60s pop
1091,18,inspirational,inspirational
11511,18,desert,desert
5094,18,religion,religion
11936,18,dj gold,dj gold
8884,18,beatiful,beatiful
4070,18,xmas,xmas
