,id,name,metadata
26,30.0,And One,electronic body music futurepop new wave music 80 90 absolute disco alternative ambient and one beat dance dark darkwave drum ebm electronic ethnic experimental futurepop german gothic industrial loveliness metal my fav fun nejlepsi new romantic new wave newman esque ogonj ohm sweet ohm oni pout po andoneovski po kraftwerkski psychedelic scholes song seen live sexy sexy song synth synth pop synthpop the beowulf choice touching song trance true synthpop
27,31.0,Amduscia,aggrotech aggrotech dark dark electro ebm industrial seen live terrorbaa
28,32.0,Covenant, 80 black metal darkwave ebm electronic electronica favorite futurepop futurepop anthem industrial new wave prejebeno seen live succulent 3 swedish synth pop synthpop ultimate favorite
29,34.0,Icon of Coil,electronic body music futurepop ebm electronic favorite futurepop futurepop anthem industrial norwegian synthpop ultimate favorite
30,36.0,KMFDM,electro industrial electro industrial industrial metal industrial metal industrial music industrial music industrial rock industrial rock addictive awesome ebm electronic electronica german industrial industrial metal industrial rock interesting kmfdm music for tossing furniture around rock hard take your shirt off and dance to it ultimate favorite ultra heavy beat
31,37.0,Funker Vogt,aggrotech electro industrial futurepop aggrotech darkwave ebm german industrial
32,38.0,Dawn of Ashes,black metal electro industrial extreme metal industrial metal black metal dark electro dawn of ash angel deathcore ebm harsh ebm industrial post industrial terror ebm terrorbaa
33,39.0,Sopor Aeternus & The Ensemble of Shadows, cover darkwave electronic german gothic instrumental make me wanna dance medieval poem
34,40.0,The Faint,dance punk death metal indie rock intelligent dance music new wave music noise music post punk revival speed metal alternative american artist berep show the love bouncy catchy dance electronic gossip girl indi indie indie rock must see live before dying other great track seen live smash it up song to download later the faint witch clash
35,41.0,God Module,electro industrial electronic body music aggrotech dark dark electro ebm industrial
36,43.0,Noisuf-X, ebm electronic industrial noise powernoise
37,44.0,Das Ich,dark wave electro industrial gothic music neue deutsche todeskunst darkwave ebm favorite song german gothic industrial remix seen live
38,45.0,Mindless Self Indulgence,comedy rock electronic rock electropunk hip hop music industrial rock new wave music alternative electronic electronica experimental i want to dance in my underwear industrial industrial jungle pussy punk live magnificently mediocre metal mindless self indulgence punk rock seen live synthpunk the fucking best ultimate favorite
39,46.0,Pyotr Ilyich Tchaikovsky, ballet christmas blend classical gossip girl inspiration instrumental romantic tchaikovsky the best classical opera and film score top100
40,47.0,Emperor, avant garde awesome awesome song black metal dark epic extreme black metal favourite song fucking awesome great killer drum killer riffing masterpiece melodic black metal metal norway norwegian norwegian black metal play this loud enough to raise the dead raw black metal sophisticated black metal art true norwegian black metal very kvlt
41,48.0,Anorexia Nervosa, french symphonic black metal
42,49.0,Reaper, dark electro ebm electro electro industrial electronic industrial seen live
43,50.0,Gothminister,gothic metal industrial metal ebm gothic gothic metal industrial industrial metal
44,51.0,Duran Duran,dance rock dance rock new wave music new wave music synth pop synth pop 00s 1008 1981 1981 song 1982 song 1983 song 1990 s 1990s 1995 2008 80 s 80 80 pop 80 stuff 90 s 90 absolute disco acoustic acoustic rock all time faves alternative alternative rock amazing vocal ambient amelia anthemic artist atmospheric awesome b side b side babs bad day bad day bad girl ballad beautiful best best song ever blue song bobbi bond brit pop british british artist britpop caleb chilled chillout classic rock clint club collectable cover cover dance dance pop danny dd demo dramatic drug dub duran duran duran duran my fave from wedding album edit eighty electro pop electronic electronica energetic epic erotic ethereal experimental fav artist fav song faves favorite track favorite favourite song favourite fucking amazing government grunge guilty pleasure guilty pleasure hit hot house hypnotic i want back to the 80 indie indie pop indie rock instrumental james bond jason johnny kon leftovergrooves legend life on mar live love love at first listen love duran jt love it loved track madonna majestic melancholic mellow mix my choice my fav fun my favorite my pleasuredome namora nejlepsi nelly furtado new romantic new romantic song new romantic new wave new wave and eighty new wave artist new wave song ninety nostalgia number ogonj old school perfect po andoneovski political pop pop rock post punk rachel rain reason to love 80 religion remix retro rock romantic roxy roy runaway scholes song scifi seen in concert seen live sex sexy simon singer songwriter single slowies song with sample song to feel happy to soundtrack stylish synth pop synth pop synthpop tag your song properly tara teddy tender the beowulf choice the best titan tony touching song tula u2 uk unsure wally weirdness x men zadrotstvo
45,52.0,Morcheeba, alsolike btvs car chill chillout city dance downtempo drug music easy listening electronic favorite artist female vocalist female vovalists hip hop lounge my fav song pop relax science seen live sexy soundtrack the end transport trip hop vocal
46,53.0,Air, 80 90 aana air alsolike alternative amazing ambient atmospheric autumn beautiful beautiful music brilliant chillout classic rock cool curious about dance dark demo downbeat downtempo dream dream pop dreamlike dreamy dub effy electro electronic electronica eletronic english european experimental favorite artist favourite song favourite france french friend gay hypnotic indie indie pop indietronica instrumental jazz just chillin lounge love love it meditative mellow music for my soul my electro feeling pastel piano relax relaxing sad seen live sex music sexy soundtrack sweet sweet electronic trip hop veronica mar vocal
47,54.0,Hooverphonic, 00s 90 aana alsolike alternative ambient belgian chill chillout city downtempo dream pop dreamy electronic electronica ethereal favorite favorite artist female vocalist female vocalist indie lounge mellow my electro feeling pop post modern relax remember him remix rock seen live sexy trip hop trip hop vocal
48,55.0,Kylie Minogue, 00s 10 1980 s 1980s 1991 1992 2007 2009 2010 80 s 80 80 awesome 80 dance 80 new wave 90 90 dance 3 all time favourite alternative amazing amazing vocal aphrodite artmaker aussie australia australian awesome back to the 80 beautiful beautiful song best dance singer best music ever best of pop best song of the 80 biggest voice brit pop british broken clash camp catchy chill out chillout classic club cool dance dance pop dance queen dance pop dark deep clash dirty disco diva diva dub eighty electro electro pop electro pop electroclash electronic electronica electropop eletropop emotional emotional pop energetic english europe europop fave song ever favorite song favorite female female artist female vocalist female vocalist fierce flirty flop gay gay icon gay icon girl power girl shit glam gluhie 90e goddess of pop good old time great great moment at et7 great song guilty pleasure happy heart hip hop hora de ser mae hot house i am a party girl here is my soundtrack i love 80 i love disco diamond i want this played at my wedding i want to be independent listening to i wish i could make a video for this icon indie indie pop instrumental kylie kylie minogue latin leftovergrooves legend love love at first listen love it love song lpa luxo make me feel sexy make me smile make me wanna dance mellow my life myfavorites singer national treasure neighbour new wave party perfection pet shop boy pop pop dance pop heaven pop life pop pleasure pop princess pop single popular power pop pwl queen of pop remix rnb rock romantic sad seen live sensual sex sexy sexy song shoulhavemoreplays singalong soul summer song synthpop techno the place promised in our early day the queen the queen of dance pop top artist trance ugly betty urban urban pop village vocalista feminimo weekly top artist weekly top track xenomania
49,56.0,Daft Punk,dance music disco electronic music house music 00s 10 2000s 70 80 s 80 90 aeroelectronic punk alternative amazing atmospheric awesome bass beat beautiful breathtaking catchy a hell chillout classic cool daft punk dance dance trance dance party danceable descoperiri disco driving music electro electro punk electroclash electronic electronic house electronica electropop eletronic eletronica experimental french french electronic french house fun funk happy house house society idolo instrumental late night tune legend live love itt make me want to dance male vocalist mix my electro feeling neon space party perfect perfection po kraftwerkski pop popular remix scholes song science sick soundtrack synth synth pop synthpop techno techno brut techno rock the beowulf choice the best tinosoft top 40 tron legacy ost tune work out music
50,57.0,Thievery Corporation, aana acid jazz ambient chill chillout descoperiri downtempo electronic favorite french garden state soundtrack house just chillin laid back lounge love it special trip hop trip hop world
51,58.0,Goldfrapp,ambient music electroclash folktronica synth pop trip hop 00s 2008 2010 acoustic alternative ambient atmospheric beautiful track best song ever brilliant british chill chillout cool dance dance trance disco dowloan required downtempo dreamy dub electro electroclash electronic electronica electropop essential instrumental version ethereal experimental favorite favourite female female electronic female vocalist female vocalist folk friend fun genius glam glam rock house house md i buy single for b side like this indie instrumental launge light trip hop love it lovely mellow mute record my electro feeling my fav song pop q sexy rafa relaxing remix sad seen live sex sexy sexy song singer songwriter special stylish synthpop the vampire diary transport trip hop trip hop uk vocal
52,59.0,New Order, 00s 1983 song 80 s 80 80 alternative 80 awesome 80 new wave 90 acoustic rock alternative alternative dance alternative rock artist b side beach beat berep show the love best song ever british british artist britpop cold college rock color crime dance dance dance dance dancey day death drum machine dub edit electronic electronica english experimental factory record fav artist fav song favorite band favorite song favorite favourite gothic grunge ich liebe dich indie indie pop indie rock instrumental male vocalist manchester melancholic synth pop melancholy melodramatic synths my favorite new order new wave new wave and eighty new wave artist new wave song number ogonj party po andoneovski pop poppy post punk post punk punk remix retro rock scholes song seen live singer songwriter single song i sing in the shower song to listen to on a sunny day soundtrack spacey synth pop synth pop synthpop synthpop song techno techno pop the beowulf choice the cure the pedofinder general u2 uk ultimate favorite unknown yay
53,60.0,Matt Bianco,blue eyed soul jazz funk sophisti pop animal
54,61.0,Talk Talk,art rock art rock art rock art rock new wave music new wave music new wave music new wave music post rock post rock post rock post rock synth pop synth pop synth pop synth pop 1982 song 1983 song 1984 song 80 art rock b side british british artist cold dance day dub electronic f fav artist fav song favorite band favorite song favourite song flood fog girl name mountain top snow melting thawing fire ice volcano nature earth my favorite new romantic new wave new wave and eighty new wave artist new wave song plasma pop post rock psychosis pure aural sex question retro song to listen to on a sunny day synth pop synthpop washing over me water
55,62.0,Prefab Sprout,jazz pop new wave music pop music sophisti pop 1985 song 80 alternative blue eyed soul british artist britpop college rock new wave new wave artist pop synth pop
56,63.0,Enigma, 1991 90 alternative ambient blue deep chillout coisa de deus deutschland dream dreamy electro electronic electronica enigma enigmatic epic favorite gregorian chant hypnotic instrumental lyrical brilliance macumba music meditative new age nostalgia post modern relax relaxing relaxing music sex sexy singer songwriter vocal
57,64.0,Röyksopp,ambient music chill out music downtempo electronic music house music synth pop 00s aana addictive ambient brilliant chill chillout cool crap dance downtempo dream dream pop dreamy easy listening electro electronic electronica energetic epic experimental famous person favorite song favourite female vocalist happy happy joy joy indie lounge love at first listen mad about make me wanna dance melancholy mellow norge norway norwegian perfection relax sexy sexy song soundtrack of my life sweet synthpop trip hop witch clash
58,65.0,Coldplay,alternative rock pop music pop rock post britpop 00s 2002 2005 2008 4m4zinq 90 acoustic alternative alternative rock amazing ambient atmospheric awesome b side ballad beatiful beautiful beautiful music ben lee best song ever brian eno brilliant brit rock british britpop britrock britsong caaamiiiliiitaaa chill chillout city classic rock cold play coldplay cool cover cute demo dreamy electronic epic eternal love european experimental fail favorite album favorite artist favorite artist favorite band favorite band and artist favorite song favorite song favorite favourite favourite artist favourite song favourite folk free free download free mp3 fucking awesome fun galactic garden state soundtrack genius gold good stuff great song hang on happy i love indie indie pop indie rock indierock inlove isa johnny cash jukebox project just chillin kraftwerk lastfm elitist repellent light listened more than 10 time in a row love love at first listen love it love ya lll lovely lpa male vocalist marisa mix melancholic mellow metal musikfuerrundumdieuhr muzyka dla mietkich chlopcow my own private sunshine naked new wave oh my god ohmydamn oldie one tree hill oui fm overrated perfect piano piano rock pissbass pop pop rock post britpop progressive rock question rain relax relaxing religion rock rock alternative rock indie romantic sad samey seen live sexy singalong singer songwriter six foot under soundtrack soft rock song diana sang on x factor song i absolutely love song i never get sick of song ive obsessed over song to feel happy to special sweet tbu tear jearker the pedofinder general time tinosoft uk united kingdom vacation viaje de egresados weekly top track whitenoize wistful xmas
59,66.0,Faithless,electronic music electronic music electronic music electronic music house music house music house music house music trance music trance music trance music trance music trip hop trip hop trip hop trip hop 2000s 90 alternative ambient chill chillout dance dance trance drug song electro electronic electronica female vocalist gadi1 house pop progressive house seen live trance trip hop
60,67.0,Madonna, 00s 1980s 1985 1990s 1991 2000s 2004 2008 2009 80 s 80 80 pop 90 good 90 3 aaliyah acapella acoustic adult contemporary all time favorite alternative amazing amazing vocal american anime anthemic artmaker attitude awesome awsome ballad ballad bass beautiful beauty best music ever best of all best song ever bigdrums bitch britney spear bubba sparxxx camp celebration charmed chilled chillout christina aguilera classic classic rock club concert confession on a dance floor contemporary rnb cool cover crunk cry cyndi lauper dancante dance dance trance dance pop dance pop daring dark dick tracy director dirty disco diva diva dont cry for me argentina dub edit electro pop electronic electronica electropop eletronic emotional energetic english epic erotic essential madonna f u c k me fab fantastic pop album fav female singer fave favorite favorite song favorite favourite song female female artist female vocalist female vocalist female voice fierce folk folk pop fuck yeah fun funk get stupid ginuwine girl power girl shit glam glamour goddess gospel grunge guilty pleasure guilty pleasure guitar her best hip hop hit holiday soundtrack hot house house society hung up icon idolo incomparable indie instrumental jam james bond janet jackson jazz jump jungle justin timberlake kiley dean legend live living legend lol love love at first listen love it lyricism mad maddie madge madoge16 madonna madonna demo madonnitaaaa make me wanna dance mellow memory metal meu tudo minha gostosa minha tesuda missy elliott mix music to listen to at night musical mya n 1 hot 100 billboard new wave obsession oscar winning song party party time perfect perfection pet shop boy piano pop pop bitch pop dance pop life pop music pop pleasure pop queen pop rock power pop psychedelic queen queen forever queen of music queen of pop r n b rainha rainha do pop rap really queen reason to love 80 relax remix rnb rock romantic sad seen live sensual sex sexy sexy bitch do it better sexy pop sexy song sexyy show woman singer songwriter slowies song to listen to sorry soundtrack spanish stand out be proud sticky and sweet tour stupid superstar synth pop techno the beowulf choice the best of madonna the best show the best woman singer the richest singer timbaland tinosoft top 40 touching song trance true legend turkish delight tweet tyler adam urban urban pop usa viaje mistico vocalist vocalista feminimo vogue cardiff weekly top artist weekly top track william orbit work out music worst lyric ever
61,68.0,Icehouse, 1982 1982 song 1984 song 80 aussie australian best chillout city name dance electronic fav artist fav song favourite song genius at work brilliant song hellish song instrumentals modern classic my fav fun my pleasuredome nejlepsi new romantic new wave new wave artist new wave song ogonj pop retro rock scholes song synth pop synthpop the pedofinder general touching song zadrotstvo
62,69.0,Sade, 4m4zinq 80 90 alternative best blue british chill zone chillout classic cool crunk dirty dreamy emotional f4nt4stic female vocalist female vocalist funk jazz jazzy johnny legend lounge mellow mix piano pop rnb sad sensual sexy smooth smooth jazz soul uk
63,70.0,Moby,ambient music downtempo electronica rock music techno 80 90 acoustic rock alternative alternative rock amazing ambient american atmospheric b side beautiful blue song britpop check your meta tag chillout classic color cover dance depressing downbeat downtempo dream dreamy electro electronic electronica energy experimental faves favorite song favorite female vocalist forever in heart grunge house i fucking love this song indie indie pop indie rock instrumental jazz live lounge male vocalist melancholic mellow moby must have mute record new vicious new wave oui fm piano poetry pop post punk psychedelic question rave relax remix rock r sad sad and slow seen live sexy singer songwriter single slowies song with sample song i absolutely love soundtrack space techno trance trip hop u2 usa
64,71.0,Dido, 90 acoustic alternative amazing ambient beautiful breathtaking british britpop charmed chill chillout dido downtempo dreamy easy listening electronic english fascinating female female vocal female vocalist female vocalist folk folk rock indie indie pop leftovergrooves listened more than 10 time in a row love melancholic melancholy mellow new age piano pop relax relaxing rock romantic sexy singer songwriter song diana sang on x factor soul stunning trip hop
65,72.0,Depeche Mode,alternative rock dance rock electronic rock new wave music synth pop 00s 1008 10 1980s 1981 1981 song 1983 song 1984 song 80 s 80 80 awesome 80 new wave 80 party 80 pop 90 3 absolutely genius acoustic all time favorite alternative alternative dance alternative in the 1990s alternative rock amazing amazing live amazing vocal ambient artist a a tag atmospheric avant garde avantgarde awesome b side b side beautiful beautiful music bela best band ever best of 80 best remix best song ever best song ever bitter boa brilliant british british artist britpop catchy a hell cesar chillout classic classic rock clipe sinistro country cult dance dance trance dark dark and new wave dark wave darkwave datura dave gahan dave gahan is showing striptease dave is dancing dave jump in crowd background female sing louder de eme amore mio deconstruction deep deep electro defiant demo depeche mode depeche mode dm depeche mode favourite depeche mode live black celebration depressive devotional disco dm downbeat dream driving dub edit electro electro rock electro industrial electro pop electroclash electronic electronic rock electronica electropop energy english epic essential instrumental version europe expeirence group experimental fav artist fav song fave song ever faves favorite favorite album favorite artist favorite artist favorite band favorite song favorite favourite favourite album favourite artist favourite song favourite favourte track ever female vocalist folk forever in heart fucking amazing fucking awesome fucking great genius gossip girl goth goth rock gothic great b side great song guilty pleasure hang on happy helplessly singing along holy fucking shit this shit is fucking awesome house hypnotic i can and will listen to this song all day i love i love 80 i love 90 idm idol incredible voice indie indie pop indie rock industrial instrumental jazz late night tune legend lillian little 15 live love love it love love love love making music love song lovely magical male vocalist martin gore melancholic melhor banda do mundo melhor do ano 80 melodic metal microsound mix muito boa music to cry musical genre mute record my favorite my favourite neo electro neo pop never enough new age new dress new romantic new wave new wave and eighty nighttime nostalgia nostalgic nothing oh well one of the best song ever party perfect perfect lyric personal jesus piano policy of truth pop post electroclash post electroclash post punk progressive rock psychedelic relax relaxing remix resignation rio rock romantic sad sad and slow seen live sensual sex sex music sexy sexy song singalong singer songwriter single slowies song with sample sotu sound of the universe soundtrack stuff that get me moving synth synth pop synth wave synth pop synthmope synthpop synthpop artist synthpop song tagas tag take your shirt off and dance to it techno techno ish the best the best song of the world time tinosoft too cool for normal tag trance trip hop uk viking quest violator violence voz marcante want to see live we love the 80 world in my eye yearns to be covered
66,73.0,Café Del Mar, acid jazz alternative alternative rock amazing ambient atmospheric cafe del mar chillout downtempo electronic etheric ethnic chill fascinating female vocalist funk jazz leftovergrooves lounge relax relaxing trip hop world
67,74.0,Basia, female vocalist polish
68,75.0,Camouflage, 80er 80 80 pop 90 alternative alternative dance ambient cover disco electro electronic german hang on house new wave seen live synth synth pop synthpop
69,76.0,Electronic, 1992 90 absolute disco alternative dance edit electronic favorite song manchester my favorite my loving my pleasuredome new wave pet shop boy piano po kraftwerkski scholes song single soundtrack the beowulf choice vaguely homosexual
70,77.0,George Michael, 00s 1992 80 s 80 80 pop 90 acoustic atmospheric b side ballad beautiful british chillout christmas dance dance trance duet epic europe faves favorite funk gay guilty pleasure handclap house leftovergrooves live love love song male vocalist mellow new wave officially shit para fornicar piano pop popbritish rock romantic seen live sexy singer songwriter single slowies song with sample soul stylish trance village
71,78.0,The Adventures,alternative rock folk music of ireland new wave music pop rock 80 alternative new wave
72,79.0,Fiction Factory,new wave music synthpop 1984 song 80 fav artist fav song new romantic new wave new wave artist new wave song pop pure aural sex scottish synthpop
73,80.0,Groove Armada,big beat electronica funk music house music trip hop 00s 10 1st vine 2009 2010 ambient black light british cesar chill chill latin hh chillout club dance disco downbeat downtempo electro electronic electronica favourite song groove armada house lounge male vocalist mellow my fav piano seen live trip hop united kingdom
74,81.0,Portishead, 00s 90 acid jazz alternative ambient atmospheric avant garde beautiful best song of the 00s british britpop chill chillout curious about dance dark downtempo electronic electronica ethereal experimental favorite artist favorite favourite female female vocalist haunting hip hop hypnotic icelandic idm indie industrial instrumental jazz level two lo fi lounge love it melancholic melancholy mellow music to cry orgasm oui fm pop portishead post rock psychedelic pulsating q sexy rock sad sexy singer songwriter song ive obsessed over soul soundtrack of my life terminator top100 trip hop trip hop uk ultimate favorite vocal
75,82.0,Marc Almond,art pop cabaret gothic rock new wave music synth pop 00s 1980s 1992 80 90 a rebours alternative atmospheric british cover dance electronic 80 dance pop disco electronic england eurodance favorite modern classic musthavealbums my favorite my pleasuredome new romantic new wave new wave and eighty pop post punk singer songwriter synth pop the beowulf choice uk
76,83.0,Cock Robin, 80 atmospheric favorite band new romantic pop soft rock
77,84.0,Cut Copy,dance punk indietronica new wave music synth pop 00s alternative dance atmospheric australian chillout dance dj gold dreamy electro electroclash electronic electronica electropop eletropop happy in the chillwave family indie indie rock love it male vocalist mellow my electro feeling my loving neo electro other great track seen live synth pop synthpop triple j tyler adam
78,85.0,Spandau Ballet,blue eyed soul new wave music sophisti pop synth pop 1980s 1981 1981 song 1982 1982 song 1983 song 1984 song 80 80 pop atmospheric blitz playlist british british artist dance england english fav artist fav song faves great love song heavy funk hit new romantic new romantic song new wave new wave artist new wave song pop so gay soundtrack spandau ballet synthpop uk
79,86.0,Katie Melua, 00 s 00s acoustic ballad blue chillout cover dance dazs favourite easy listening favorite female vocalist folk house indie jazz love love at first listen mellow pop singer songwriter soul
80,87.0,Deacon Blue,alternative rock blues pop music pop rock rock music sophisti pop 80 classic color death faves girl name pop question religion slowies
81,88.0,Gorillaz,alternative rock art pop electronic music hip hop music trip hop 00s 10 2005 2010 alternative alternative hip hop alternative rock amazing animal awesome awesome ness boy name british britpop chillout cool cop country damon albarn dance daring edgy electric electro electronic electronica english experimental famous person favorite song feel good inc fucking awesome fun funk gorillaz hip hop hip hop indie indie pop indie rock love at first listen monkeyrock oui fm pop quirky recos rock seen live sexy song soul stoner sweet the oc tinosoft trip rock trip hop uk united kingdom
82,89.0,Lady Gaga, 00 s 00s 2000s 2008 2009 2010 2010s 4m4zinq 80 s 3 aaaaa abril absolutely amazing acoustic addicted addiction addictive ahazante all the best all thing annoying in the world put together into one stupid bitch alternative always in my mind amazing amazing voice american amo demaix artmaker attention seeking whore awesome ballad beautiful beeshop esteban best song of the 00s best voice big voice bitch born this way boy britney spear but the party dont stop can cap catchy celebrity who one day im determined to meet club colby cover cover creep dad dance dance 00s dance pop dance pop dancepop dane dane cook dark demo die disco diva eargasm electro pop electronic electronica electropop eletronic eletropop energetic energy english epic eurodance excellent reason for cry express yourself fame fashion favorite favorite song favorite song favorite female female vocalist female vocalist female voice fgsfds fierce freak fresno fucking amazing fucking awesome fucking good fun funeral doom metal funky gaga gagalicious galvao game gay gay metal germanotta glam glamophonic electronic disco baby glamorous gleefully sexual godga gossip girl gostosa great lyric great voice gross meaning but good song guilty pleasure guilty pleasure han happy hate her but like her music her best hit holiday soundtrack hooker hot hot like mexico rejoice hyper i am in love with this song i can and will listen to this song all day i have a definite favorite part in this song i like it rough i love i love dancing about to this like a complete and utter idiot i saw them live i wa fighting with myself not to listen to it but i lost icon ill indie pop intense mutha fuckin power violence just just could not get any better just dance lady lady gaga lady gaga poker face lady gaga play day legend let make a sandwich linda lip song little monster love love at first listen love gaga love is weird love it lovely gaga lovesong madonna copy make me cry make me feel better melrose place monster more play mother monster moving my hip like yeah new new yorkerin nice north korea is best korea nothin on but the radio officially shit oh so catchy olhos one hit wonder one of her best song one of the thousand of thing we have in common overrated party party time perfect personal piano plagiadora please let me lick you poker ponyrape pop pop bitch pop bitch pop dance pop glamour pop icon pop single postmodern powerpop pretty queen queen of dance queen of last fm queen of music queen of pop raven girl top 20 redone rnb rock sad schlecht se joga na balada seen in concert seen live sex sexy sexy video shit shit music is shit shit only a retard would listen to singalong singer songwriter so gossip girl soon to be classic soundtrack stefani sterben suicidal black metal summer summer song super catchy synth pop synthpop tbu techno the the best the best singer the fame the remix the shit the worst thing ever to happen to music these song are just amazing thrashcore trashbag filled with vomit traveca underrated unreleased upbeat urban urban pop usa vocalista feminimo want to see live weekly top artist weekly top track why on earth is this just a bonus track why on earth wasnt this released woman xtina xxxmas you
83,90.0,Kosheen,alternative rock breakbeat drum and bass electronica trip hop alternative british chillout dance downtempo drum and bass electro electronic favorite first rate and free party trip hop uk vocal
84,91.0,Nik Kershaw, 1984 song 80 80 i like alternative atmospheric british dance electronic english fav song favorite band favourite male vocalist my fav fun my pleasuredome new wave pop rock singer songwriter synth pop synthpop the beowulf choice uk
85,92.0,Vitamin Z,new wave music synthpop 80 new wave synth pop
86,93.0,Jean-Michel Jarre,ambient music electronic music new age music progressive rock techno trance music 1984 song 90 abstract ambient atmospheric chillout coisa de deus electro electronic electronic song electronica fav song frau und technik instrumental jean michele jarre jean michele jarre new age new wave pop seen live synthpop
87,94.0,Ministry of Sound, acid jazz chillout club house cover dance downtempo groove lounge trip hop
88,95.0,Simply Red,blue eyed soul pop music sophisti pop soul music 1992 80 90 acoustic adult contemporary all the best alternative best song of the 80 blue eyed soul british classic house dance dance pop favorite song kathy lip song male vocalist new wave new wave and eighty pop rock romantic roy seen live sex soft rock soul uk
89,96.0,Fleetwood Mac,art pop blues rock british blues folk rock pop rock rock music soft rock 1969 60 70 80 s 80 adult contemporary album rock amazing best song of the 80 blue blue rock british california chill zone classic rock color female vocalist guilty pleasure instrumental instrumental blue miserable mom vinyl collection pop rock soft rock uk
90,97.0,Duffy, 3 addiction album i own all the best amazing ballad beautiful best of 2008 best song of the 00s british britpop catchy chillout depress duffy faves female vocalist female vocalist female voice great lyric hey song youre so fucking cute indie indie pop jazz let s dance love love at first listen lpa mellow memory oh so catchy oui fm pop powerful voice riot grrl rnb singer songwriter song i never get sick of song i sing with my mom soul tambourine weekly top artist weekly top track welsh woman
